p,rh,t,ts
101.615,79.26,21.847,1550940757.35442
101.611,79.23,21.836,1550940759.81814
101.615,79.22,21.833,1550940762.27799
101.612,79.19,21.823,1550940764.73794
101.614,79.11,21.798,1550940767.20529
101.614,79.03,21.772,1550940769.67250
101.61,78.9,21.75,1550940772.13785
101.612,78.85,21.727,1550940774.60661
101.609,78.91,21.71,1550940777.07378
101.609,78.93,21.692,1550940779.54086
101.613,78.78,21.667,1550940782.00770
101.611,78.66,21.647,1550940784.47477
101.609,78.65,21.626,1550940786.94190
101.605,78.73,21.609,1550940789.40946
101.607,78.83,21.6,1550940791.87857
101.609,78.89,21.585,1550940794.34547
101.608,78.9,21.567,1550940796.80799
101.61,78.95,21.554,1550940799.26793
101.611,79.04,21.54,1550940801.73527
101.61,79.14,21.535,1550940804.20311
101.61,79.21,21.525,1550940806.66524
101.612,79.26,21.521,1550940809.13229
101.607,79.29,21.511,1550940811.59855
101.61,79.3,21.506,1550940814.06651
101.609,79.3,21.493,1550940816.53434
101.614,79.29,21.483,1550940819.00163
101.611,79.28,21.474,1550940821.46788
101.613,79.26,21.46,1550940823.93498
101.614,79.26,21.446,1550940826.40190
101.612,79.27,21.433,1550940828.87048
101.614,79.28,21.423,1550940831.33813
101.615,79.29,21.412,1550940833.79788
101.615,79.31,21.406,1550940836.26532
101.616,79.34,21.397,1550940838.73382
101.617,79.37,21.392,1550940841.20216
101.616,79.37,21.369,1550940843.67014
101.613,79.38,21.362,1550940846.13747
101.612,79.4,21.351,1550940848.60472
101.615,79.43,21.345,1550940851.07211
101.611,79.46,21.331,1550940853.54027
101.611,79.48,21.339,1550940856.00800
101.612,79.51,21.335,1550940858.47099
101.615,79.52,21.338,1550940860.93820
101.612,79.53,21.335,1550940863.40574
101.616,79.54,21.338,1550940865.87415
101.613,79.57,21.336,1550940868.34128
101.614,79.58,21.339,1550940870.80880
101.614,79.58,21.334,1550940873.27011
101.616,79.59,21.331,1550940875.73247
101.616,79.6,21.324,1550940878.19966
101.614,79.6,21.326,1550940880.66971
101.612,79.59,21.315,1550940883.12846
101.612,79.59,21.313,1550940885.59527
101.614,79.59,21.319,1550940888.06231
101.616,79.6,21.312,1550940890.53061
101.614,79.63,21.304,1550940892.98766
101.616,79.67,21.304,1550940895.44808
101.615,79.81,21.301,1550940897.91515
101.616,79.85,21.299,1550940900.38238
101.612,79.85,21.289,1550940902.85322
101.614,79.81,21.282,1550940905.32044
101.616,79.78,21.274,1550940907.78770
101.613,79.75,21.269,1550940910.25487
101.613,79.73,21.261,1550940912.72228
101.612,79.72,21.252,1550940915.19025
101.616,79.73,21.248,1550940917.65829
101.612,79.75,21.245,1550940920.12834
101.613,79.77,21.24,1550940922.59657
101.615,79.8,21.237,1550940925.06480
101.617,79.84,21.238,1550940927.53259
101.612,79.85,21.231,1550940930.00014
101.616,79.85,21.233,1550940932.46779
101.614,79.86,21.223,1550940934.93527
101.615,79.88,21.222,1550940937.40366
101.616,79.9,21.221,1550940939.87142
101.615,79.9,21.216,1550940942.33906
101.614,79.92,21.213,1550940944.80666
101.614,79.93,21.211,1550940947.27400
101.609,79.95,21.211,1550940949.74136
101.613,79.95,21.207,1550940952.20447
101.612,79.96,21.207,1550940954.67220
101.616,79.97,21.204,1550940957.14087
101.617,80.01,21.209,1550940959.61199
101.616,80.03,21.204,1550940962.07792
101.611,80.05,21.201,1550940964.54521
101.615,80.07,21.203,1550940967.01245
101.616,80.09,21.204,1550940969.47987
101.615,80.1,21.199,1550940971.93821
101.615,80.11,21.199,1550940974.40526
101.615,80.11,21.193,1550940976.86796
101.616,80.1,21.191,1550940979.33511
101.615,80.1,21.188,1550940981.80264
101.614,80.1,21.186,1550940984.27038
101.618,80.11,21.175,1550940986.73793
101.613,80.13,21.168,1550940989.20505
101.616,80.17,21.168,1550940991.67241
101.616,80.21,21.167,1550940994.14017
101.617,80.25,21.168,1550940996.60751
101.615,80.27,21.165,1550940999.06795
101.616,80.3,21.17,1550941001.53529
101.614,80.33,21.172,1550941003.99787
101.619,80.37,21.181,1550941006.46533
101.614,80.39,21.187,1550941008.93363
101.616,80.43,21.194,1550941011.39775
101.615,80.45,21.205,1550941013.86619
101.616,80.46,21.206,1550941016.33347
101.615,80.48,21.208,1550941018.80097
101.616,80.49,21.213,1550941021.26844
101.613,80.48,21.215,1550941023.73587
101.615,80.47,21.221,1550941026.20302
101.618,80.46,21.223,1550941028.67052
101.618,80.46,21.231,1550941031.13783
101.618,80.45,21.231,1550941033.60509
101.616,80.41,21.234,1550941036.06808
101.619,80.37,21.236,1550941038.53545
101.615,80.37,21.233,1550941040.99780
101.616,80.35,21.231,1550941043.46510
101.616,80.34,21.233,1550941045.93247
101.613,80.33,21.228,1550941048.39789
101.617,80.31,21.232,1550941050.86496
101.616,80.29,21.236,1550941053.33191
101.615,80.27,21.233,1550941055.80009
101.615,80.26,21.236,1550941058.26782
101.613,80.26,21.236,1550941060.72842
101.618,80.29,21.241,1550941063.19837
101.618,80.29,21.233,1550941065.66824
101.615,80.25,21.234,1550941068.13555
101.615,80.19,21.223,1550941070.60264
101.616,80.14,21.224,1550941073.06816
101.616,80.09,21.219,1550941075.53654
101.616,80.04,21.212,1550941077.99824
101.615,79.98,21.197,1550941080.46634
101.613,79.93,21.197,1550941082.93729
101.615,79.88,21.189,1550941085.40437
101.614,79.84,21.176,1550941087.87156
101.614,79.82,21.17,1550941090.33778
101.616,79.8,21.161,1550941092.80500
101.616,79.79,21.154,1550941095.27221
101.616,79.77,21.148,1550941097.73995
101.612,79.76,21.141,1550941100.20791
101.615,79.75,21.132,1550941102.67967
101.615,79.76,21.127,1550941105.13976
101.616,79.78,21.125,1550941107.60834
101.616,79.8,21.118,1550941110.06921
101.617,79.8,21.115,1550941112.53638
101.618,79.79,21.112,1550941115.00379
101.621,79.77,21.105,1550941117.47117
101.617,79.74,21.096,1550941119.93882
101.615,79.72,21.088,1550941122.40614
101.615,79.7,21.086,1550941124.87379
101.612,79.71,21.083,1550941127.34091
101.617,79.73,21.082,1550941129.80132
101.614,79.75,21.077,1550941132.26858
101.614,79.78,21.077,1550941134.72818
101.615,79.84,21.084,1550941137.19675
