file,current,scan_rate
NF07_Mn_100_1500mvs_3,28.995,1500
NF07_Mn_100_2500mvs_1,39.739,2500
NF07_Mn_100_2500mvs_2,39.83,2500
NF07_Mn_100_2500mvs_3,39.83,2500
NF07_Mn_200_0500mvs_1,30.857,500
NF07_Mn_200_0500mvs_2,32.597,500
NF07_Mn_200_0500mvs_3,33.512,500
NF07_Mn_200_1500mvs_1,53.184,1500
NF07_Mn_200_1500mvs_2,54.664,1500
NF07_Mn_200_1500mvs_3,56.17,1500
NF07_Mn_200_2500mvs_1,73.587,2500
NF07_Mn_200_2500mvs_2,74.305,2500
NF07_Mn_200_2500mvs_3,70.635,2500
NF07_O2_100_0500mvs_1,51.464,500
NF07_O2_100_0500mvs_2,50.103,500
NF07_O2_100_0500mvs_3,50.103,500
NF07_O2_100_1500mvs_1,82.506,1500
NF07_O2_100_1500mvs_2,81.689,1500
NF07_O2_100_1500mvs_3,80.328,1500
NF07_O2_100_2500mvs_1,108.646,2500
NF07_O2_100_2500mvs_2,107.013,2500
NF07_O2_100_2500mvs_3,106.196,2500
NF07_O2_000_0500mvs_1,16.338,500
NF07_O2_000_0500mvs_2,16.61,500
NF07_O2_000_0500mvs_3,15.249,500
NF07_O2_000_1500mvs_1,35.943,1500
NF07_O2_000_1500mvs_2,35.943,1500
NF07_O2_000_1500mvs_3,34.582,1500
NF07_O2_000_2500mvs_1,48.469,2500
NF07_O2_000_2500mvs_2,49.558,2500
NF07_O2_000_2500mvs_3,50.103,2500
NF09_Fe_025_0500mvs_1,11.961,500
NF09_Fe_025_0500mvs_2,6.578,500
NF09_Fe_025_0500mvs_3,5.724,500
NF09_Fe_025_1500mvs_1,11.714,1500
NF09_Fe_025_1500mvs_2,10.548,1500
NF09_Fe_025_1500mvs_3,9.802,1500
NF09_Fe_025_2500mvs_1,15.527,2500
NF09_Fe_025_2500mvs_2,12.796,2500
NF09_Fe_025_2500mvs_3,11.933,2500
NF09_Fe_050_0500mvs_1,3.917,500
NF09_Fe_050_0500mvs_2,5.727,500
NF09_Fe_050_0500mvs_3,4.627,500
NF09_Fe_050_1500mvs_1,10.672,1500
NF09_Fe_050_1500mvs_2,11.131,1500
NF09_Fe_050_1500mvs_3,10.441,1500
NF09_Fe_050_2500mvs_1,13.558,2500
NF09_Fe_050_2500mvs_2,15.139,2500
NF09_Fe_050_2500mvs_3,15.019,2500
NF09_Fe_100_0500mvs_1,16.581,500
NF09_Fe_100_0500mvs_2,12.736,500
NF09_Fe_100_0500mvs_3,12.976,500
NF09_Fe_100_1500mvs_1,22.494,1500
NF09_Fe_100_1500mvs_2,20.96,1500
NF09_Fe_100_1500mvs_3,18.66,1500
NF09_Fe_100_2500mvs_1,30.157,2500
NF09_Fe_100_2500mvs_2,26.496,2500
NF09_Fe_100_2500mvs_3,26.496,2500
NF09_Fe_200_0500mvs_1,20.896,500
NF09_Fe_200_0500mvs_2,17.578,500
NF09_Fe_200_0500mvs_3,17.345,500
NF09_Fe_200_1500mvs_1,25.696,1500
NF09_Fe_200_1500mvs_2,26.803,1500
NF09_Fe_200_1500mvs_3,28.88,1500
NF09_Fe_200_2500mvs_1,34.801,2500
NF09_Fe_200_2500mvs_2,35.255,2500
NF09_Fe_200_2500mvs_3,33.137,2500
NF09_Fe_300_0500mvs_1,32.683,500
NF09_Fe_300_0500mvs_2,20.881,500
NF09_Fe_300_0500mvs_3,34.499,500
NF09_Fe_300_1500mvs_1,42.216,1500
NF09_Fe_300_1500mvs_2,34.196,1500
NF09_Fe_300_1500mvs_3,36.768,1500
NF09_Fe_300_2500mvs_1,54.077,2500
NF09_Fe_300_2500mvs_2,48.029,2500
NF09_Fe_300_2500mvs_3,49.63,2500
NF09_HS_010_0500mvs_1,23.125,500
NF09_HS_010_0500mvs_2,20.813,500
NF09_HS_010_1500mvs_1,42.515,1500
NF09_HS_010_1500mvs_2,38.246,1500
NF09_HS_010_2500mvs_1,56.758,2500
NF09_HS_010_2500mvs_2,49.901,2500
NF09_HS_025_0500mvs_1,58.34,500
NF09_HS_025_0500mvs_2,59.798,500
NF09_HS_025_0500mvs_3,54.124,500
NF09_HS_025_1500mvs_1,109.793,1500
NF09_HS_025_1500mvs_2,109.099,1500
NF09_HS_025_1500mvs_3,114.688,1500
NF09_HS_025_2500mvs_1,164.775,2500
NF09_HS_025_2500mvs_2,158.083,2500
NF09_HS_025_2500mvs_3,155.117,2500
NF09_HS_050_0500mvs_1,139.991,500
NF09_HS_050_0500mvs_2,137.618,500
NF09_HS_050_0500mvs_3,129.017,500
NF09_HS_050_1500mvs_1,255.233,1500
NF09_HS_050_1500mvs_2,297.33,1500
NF09_HS_050_1500mvs_3,266.967,1500
NF09_HS_050_2500mvs_1,385.051,2500
NF09_HS_050_2500mvs_2,363.233,2500
NF09_HS_050_2500mvs_3,341.135,2500
NF09_HS_100_0500mvs_1,217.684,500
NF09_HS_100_0500mvs_2,222.914,500
NF09_HS_100_0500mvs_3,213.026,500
NF09_HS_100_1500mvs_1,406.985,1500
NF09_HS_100_1500mvs_2,435.631,1500
