Chlorophyll,date,Thermistor,time,ts,Turbidity
254,02/23/19,527,16:53:26,1550976819.16475,399
253,02/23/19,527,16:53:29,1550976821.29173,389
255,02/23/19,527,16:53:30,1550976822.36378,398
255,02/23/19,527,16:53:31,1550976823.43559,392
255,02/23/19,527,16:53:32,1550976824.53859,392
257,02/23/19,527,16:53:35,1550976827.72544,392
256,02/23/19,527,16:53:36,1550976828.79441,392
255,02/23/19,527,16:53:37,1550976829.87268,395
255,02/23/19,527,16:53:38,1550976830.95521,389
260,02/23/19,527,16:53:40,1550976833.08737,380
262,02/23/19,527,16:53:41,1550976834.15960,387
260,02/23/19,527,16:53:43,1550976835.23149,381
254,02/23/19,527,16:53:44,1550976836.30341,389
253,02/23/19,527,16:53:45,1550976837.38382,389
256,02/23/19,527,16:53:46,1550976838.44718,391
258,02/23/19,527,16:53:47,1550976839.52577,386
261,02/23/19,527,16:53:49,1550976841.66982,379
261,02/23/19,527,16:53:51,1550976843.81496,385
270,02/23/19,527,16:53:53,1550976845.95778,371
266,02/23/19,527,16:53:55,1550976848.09236,376
271,02/23/19,527,16:53:57,1550976849.17249,379
269,02/23/19,527,16:53:58,1550976850.23771,367
270,02/23/19,527,16:53:59,1550976851.30852,362
270,02/23/19,527,16:54:00,1550976852.38023,384
268,02/23/19,527,16:54:01,1550976853.45830,373
265,02/23/19,527,16:54:02,1550976854.53004,363
265,02/23/19,527,16:54:03,1550976855.60185,377
263,02/23/19,527,16:54:04,1550976856.67370,366
260,02/23/19,527,16:54:05,1550976857.74661,376
260,02/23/19,527,16:54:06,1550976858.81741,372
259,02/23/19,527,16:54:07,1550976859.88899,372
262,02/23/19,527,16:54:08,1550976860.96090,374
264,02/23/19,527,16:54:09,1550976862.03930,371
269,02/23/19,527,16:54:10,1550976863.10457,367
266,02/23/19,527,16:54:12,1550976864.17657,372
267,02/23/19,527,16:54:13,1550976865.24846,379
265,02/23/19,527,16:54:14,1550976866.32059,370
265,02/23/19,527,16:54:15,1550976867.39260,366
266,02/23/19,527,16:54:16,1550976868.46677,366
260,02/23/19,527,16:54:17,1550976869.53699,377
255,02/23/19,527,16:54:18,1550976870.60831,381
254,02/23/19,527,16:54:19,1550976871.68076,386
255,02/23/19,527,16:54:20,1550976872.75551,392
255,02/23/19,527,16:54:21,1550976873.83808,388
251,02/23/19,527,16:54:23,1550976875.97847,391
252,02/23/19,527,16:54:24,1550976877.04446,387
256,02/23/19,527,16:54:25,1550976878.13145,395
252,02/23/19,527,16:54:28,1550976880.27361,394
255,02/23/19,527,16:54:30,1550976882.40329,394
254,02/23/19,527,16:54:31,1550976883.47333,394
260,02/23/19,527,16:54:32,1550976884.55362,392
258,02/23/19,527,16:54:33,1550976885.61742,396
259,02/23/19,527,16:54:34,1550976886.68952,392
260,02/23/19,527,16:54:35,1550976887.76224,386
258,02/23/19,527,16:54:36,1550976888.83361,384
256,02/23/19,527,16:54:37,1550976889.90577,389
256,02/23/19,527,16:54:38,1550976890.97784,384
258,02/23/19,527,16:54:39,1550976892.04977,399
263,02/23/19,527,16:54:40,1550976893.13091,390
254,02/23/19,527,16:54:43,1550976895.26565,398
260,02/23/19,527,16:54:44,1550976896.33757,378
262,02/23/19,527,16:54:45,1550976897.41012,378
258,02/23/19,527,16:54:46,1550976898.49166,380
254,02/23/19,527,16:54:48,1550976900.63102,404
257,02/23/19,527,16:54:49,1550976901.70308,415
251,02/23/19,528,16:54:50,1550976902.80063,403
252,02/23/19,527,16:54:52,1550976904.96257,400
256,02/23/19,527,16:54:54,1550976907.06065,399
247,02/23/19,527,16:54:55,1550976908.13278,389
246,02/23/19,527,16:54:57,1550976909.20443,386
242,02/23/19,528,16:54:58,1550976910.27637,396
244,02/23/19,527,16:54:59,1550976911.34838,384
243,02/23/19,528,16:55:00,1550976912.41963,390
240,02/23/19,527,16:55:01,1550976913.49127,386
239,02/23/19,527,16:55:02,1550976914.56316,384
239,02/23/19,527,16:55:03,1550976915.63460,373
242,02/23/19,528,16:55:04,1550976916.70606,376
240,02/23/19,528,16:55:05,1550976917.77768,384
240,02/23/19,527,16:55:06,1550976918.84947,384
242,02/23/19,528,16:55:07,1550976919.92093,388
241,02/23/19,527,16:55:08,1550976920.99258,402
242,02/23/19,528,16:55:09,1550976922.06429,397
243,02/23/19,528,16:55:10,1550976923.13609,398
243,02/23/19,527,16:55:12,1550976924.21429,390
241,02/23/19,527,16:55:13,1550976925.28946,402
244,02/23/19,528,16:55:14,1550976926.35828,391
244,02/23/19,528,16:55:15,1550976927.43206,398
244,02/23/19,528,16:55:16,1550976928.50454,394
244,02/23/19,527,16:55:17,1550976929.58369,397
243,02/23/19,528,16:55:18,1550976930.64528,390
245,02/23/19,528,16:55:19,1550976931.72549,395
242,02/23/19,527,16:55:20,1550976932.79667,383
245,02/23/19,528,16:55:21,1550976933.88183,384
252,02/23/19,527,16:55:23,1550976936.01869,375
245,02/23/19,528,16:55:25,1550976938.15846,381
244,02/23/19,528,16:55:28,1550976940.29359,403
245,02/23/19,528,16:55:29,1550976941.36240,378
242,02/23/19,528,16:55:30,1550976942.43465,376
242,02/23/19,528,16:55:31,1550976943.50593,371
242,02/23/19,528,16:55:32,1550976944.57792,372
241,02/23/19,528,16:55:33,1550976945.64973,384
241,02/23/19,528,16:55:34,1550976946.72212,384
242,02/23/19,528,16:55:35,1550976947.79980,382
241,02/23/19,528,16:55:36,1550976948.87910,378
243,02/23/19,528,16:55:37,1550976949.94363,369
245,02/23/19,528,16:55:38,1550976951.01543,364
241,02/23/19,528,16:55:39,1550976952.08728,375
241,02/23/19,528,16:55:40,1550976953.15938,376
239,02/23/19,528,16:55:42,1550976954.23110,374
240,02/23/19,528,16:55:43,1550976955.30299,374
242,02/23/19,528,16:55:44,1550976956.37468,391
245,02/23/19,527,16:55:45,1550976957.44677,366
251,02/23/19,528,16:55:46,1550976958.51869,368
247,02/23/19,528,16:55:47,1550976959.59059,367
243,02/23/19,528,16:55:48,1550976960.66619,372
244,02/23/19,528,16:55:49,1550976961.73440,372
243,02/23/19,528,16:55:50,1550976962.85779,371
240,02/23/19,528,16:55:52,1550976964.96322,371
242,02/23/19,528,16:55:54,1550976967.09174,368
240,02/23/19,528,16:55:55,1550976968.16371,371
240,02/23/19,528,16:55:57,1550976969.24321,366
240,02/23/19,528,16:55:58,1550976970.30734,369
240,02/23/19,528,16:55:59,1550976971.38573,364
239,02/23/19,528,16:56:00,1550976972.45839,375
240,02/23/19,528,16:56:01,1550976973.52891,366
240,02/23/19,528,16:56:02,1550976974.60039,368
238,02/23/19,528,16:56:03,1550976975.67215,367
241,02/23/19,528,16:56:04,1550976976.74390,366
244,02/23/19,528,16:56:05,1550976977.81922,367
242,02/23/19,528,16:56:06,1550976978.89358,368
237,02/23/19,528,16:56:08,1550976981.03054,365
236,02/23/19,528,16:56:09,1550976982.10166,374
239,02/23/19,528,16:56:11,1550976983.17355,367
239,02/23/19,528,16:56:12,1550976984.25375,364
239,02/23/19,528,16:56:13,1550976985.31755,371
244,02/23/19,528,16:56:14,1550976986.38947,366
245,02/23/19,528,16:56:15,1550976987.47375,361
241,02/23/19,528,16:56:17,1550976989.60601,363
241,02/23/19,528,16:56:18,1550976990.67555,361
241,02/23/19,528,16:56:19,1550976991.74761,366
241,02/23/19,528,16:56:20,1550976992.81948,365
242,02/23/19,528,16:56:21,1550976993.89761,360
240,02/23/19,528,16:56:22,1550976994.96959,363
240,02/23/19,528,16:56:23,1550976996.04567,368
242,02/23/19,528,16:56:24,1550976997.11285,370
240,02/23/19,528,16:56:26,1550976998.18482,361
240,02/23/19,528,16:56:27,1550976999.26159,369
240,02/23/19,528,16:56:28,1550977000.32896,364
240,02/23/19,528,16:56:29,1550977001.40062,370
240,02/23/19,528,16:56:30,1550977002.47284,363
240,02/23/19,528,16:56:31,1550977003.54456,369
240,02/23/19,528,16:56:32,1550977004.62178,373
241,02/23/19,528,16:56:33,1550977005.68800,362
241,02/23/19,528,16:56:34,1550977006.75993,364
242,02/23/19,528,16:56:35,1550977007.83181,365
245,02/23/19,528,16:56:36,1550977008.90369,372
248,02/23/19,528,16:56:37,1550977009.99767,370
247,02/23/19,528,16:56:39,1550977012.11777,377
247,02/23/19,528,16:56:41,1550977013.18968,375
246,02/23/19,528,16:56:42,1550977014.26159,367
244,02/23/19,528,16:56:43,1550977015.33635,364
244,02/23/19,528,16:56:44,1550977016.40544,365
243,02/23/19,528,16:56:45,1550977017.47734,369
243,02/23/19,528,16:56:46,1550977018.55558,367
243,02/23/19,528,16:56:47,1550977019.62730,370
246,02/23/19,528,16:56:48,1550977020.69913,363
246,02/23/19,528,16:56:49,1550977021.81385,375
244,02/23/19,528,16:56:51,1550977023.92249,361
244,02/23/19,528,16:56:53,1550977026.07382,365
245,02/23/19,528,16:56:56,1550977028.20034,368
250,02/23/19,528,16:56:57,1550977029.27231,354
251,02/23/19,528,16:56:58,1550977030.34425,355
245,02/23/19,528,16:56:59,1550977031.41602,357
244,02/23/19,528,16:57:00,1550977032.48740,370
244,02/23/19,528,16:57:01,1550977033.55978,361
244,02/23/19,528,16:57:02,1550977034.63067,357
242,02/23/19,528,16:57:03,1550977035.70229,359
242,02/23/19,528,16:57:04,1550977036.77405,361
241,02/23/19,528,16:57:05,1550977037.84557,365
239,02/23/19,528,16:57:06,1550977038.91808,364
238,02/23/19,528,16:57:07,1550977039.99188,364
237,02/23/19,528,16:57:08,1550977041.06041,369
240,02/23/19,528,16:57:09,1550977042.13848,385
239,02/23/19,528,16:57:11,1550977043.21081,383
240,02/23/19,528,16:57:12,1550977044.28218,374
238,02/23/19,528,16:57:13,1550977045.35387,377
241,02/23/19,528,16:57:14,1550977046.42688,386
243,02/23/19,528,16:57:15,1550977047.50466,383
242,02/23/19,528,16:57:16,1550977048.57036,391
242,02/23/19,528,16:57:17,1550977049.66103,380
244,02/23/19,528,16:57:19,1550977051.78473,374
246,02/23/19,528,16:57:20,1550977052.86611,371
246,02/23/19,528,16:57:21,1550977053.92795,373
243,02/23/19,528,16:57:22,1550977054.99966,373
241,02/23/19,528,16:57:23,1550977056.07840,375
242,02/23/19,528,16:57:24,1550977057.14363,373
243,02/23/19,528,16:57:26,1550977058.21530,370
242,02/23/19,528,16:57:27,1550977059.29051,370
242,02/23/19,528,16:57:28,1550977060.35873,363
242,02/23/19,528,16:57:29,1550977061.43111,372
242,02/23/19,528,16:57:30,1550977062.50470,365
240,02/23/19,528,16:57:31,1550977063.57421,367
241,02/23/19,528,16:57:32,1550977064.67803,364
242,02/23/19,528,16:57:34,1550977066.79739,368
243,02/23/19,528,16:57:35,1550977067.86741,372
242,02/23/19,528,16:57:36,1550977068.94133,373
243,02/23/19,528,16:57:37,1550977070.01123,364
243,02/23/19,528,16:57:38,1550977071.08564,370
244,02/23/19,528,16:57:39,1550977072.15501,357
246,02/23/19,528,16:57:41,1550977073.22676,373
246,02/23/19,528,16:57:42,1550977074.29859,378
248,02/23/19,528,16:57:43,1550977075.37644,360
251,02/23/19,528,16:57:44,1550977076.44175,365
250,02/23/19,528,16:57:45,1550977077.51358,378
247,02/23/19,528,16:57:46,1550977078.58560,366
247,02/23/19,528,16:57:47,1550977079.65930,354
246,02/23/19,528,16:57:48,1550977080.73291,356
246,02/23/19,528,16:57:49,1550977081.81795,355
249,02/23/19,528,16:57:51,1550977083.95779,358
244,02/23/19,528,16:57:53,1550977086.09795,356
245,02/23/19,528,16:57:56,1550977088.23052,363
243,02/23/19,528,16:57:57,1550977089.30863,370
244,02/23/19,528,16:57:58,1550977090.38062,362
244,02/23/19,528,16:57:59,1550977091.45247,369
242,02/23/19,528,16:58:00,1550977092.52406,377
243,02/23/19,528,16:58:01,1550977093.59790,374
246,02/23/19,528,16:58:02,1550977094.67353,361
249,02/23/19,528,16:58:03,1550977095.73859,366
248,02/23/19,528,16:58:04,1550977096.81463,369
247,02/23/19,528,16:58:06,1550977098.95443,358
246,02/23/19,528,16:58:07,1550977100.02482,357
248,02/23/19,528,16:58:08,1550977101.09591,359
247,02/23/19,528,16:58:10,1550977102.16774,361
249,02/23/19,528,16:58:11,1550977103.23976,354
251,02/23/19,528,16:58:12,1550977104.31140,350
252,02/23/19,528,16:58:13,1550977105.38344,347
254,02/23/19,528,16:58:14,1550977106.45504,350
249,02/23/19,528,16:58:15,1550977107.53683,362
253,02/23/19,528,16:58:16,1550977108.59852,354
256,02/23/19,528,16:58:17,1550977109.67711,350
258,02/23/19,528,16:58:19,1550977111.81395,346
256,02/23/19,528,16:58:20,1550977112.89245,353
258,02/23/19,528,16:58:21,1550977113.98106,350
258,02/23/19,528,16:58:23,1550977116.12759,357
256,02/23/19,528,16:58:26,1550977118.25194,348
258,02/23/19,528,16:58:27,1550977119.32421,344
258,02/23/19,528,16:58:28,1550977120.40192,342
257,02/23/19,528,16:58:30,1550977122.54570,348
257,02/23/19,529,16:58:31,1550977123.61579,353
260,02/23/19,528,16:58:32,1550977124.68460,358
261,02/23/19,528,16:58:33,1550977125.75570,344
260,02/23/19,528,16:58:34,1550977126.82716,346
263,02/23/19,528,16:58:35,1550977127.90231,348
264,02/23/19,528,16:58:36,1550977128.97594,337
265,02/23/19,528,16:58:37,1550977130.04290,347
268,02/23/19,528,16:58:38,1550977131.12460,337
265,02/23/19,528,16:58:40,1550977132.18710,337
261,02/23/19,528,16:58:41,1550977133.26963,342
260,02/23/19,528,16:58:43,1550977135.40199,341
259,02/23/19,529,16:58:44,1550977136.48044,337
259,02/23/19,528,16:58:45,1550977137.55261,335
257,02/23/19,529,16:58:46,1550977138.63711,339
259,02/23/19,528,16:58:48,1550977140.76801,334
259,02/23/19,528,16:58:49,1550977141.85783,337
260,02/23/19,528,16:58:51,1550977143.99384,335
261,02/23/19,529,16:58:53,1550977146.13785,345
260,02/23/19,528,16:58:56,1550977148.26907,348
261,02/23/19,528,16:58:57,1550977149.34563,333
