p_int,rh_int,t_int,ts
107.322,11.22,31.038,1550874874.3320987
107.324,11.22,31.017,1550874884.8749144
107.33,11.21,31.019,1550874895.365652
107.338,11.21,30.981,1550874905.9234605
107.347,11.2,30.974,1550874916.467703
107.358,11.19,30.953,1550874927.0021846
107.372,11.19,30.947,1550874937.5031083
107.388,11.19,30.937,1550874948.0176716
107.406,11.18,30.924,1550874958.5070465
107.421,11.18,30.907,1550874969.0318656
107.42,11.16,30.909,1550874979.564492
107.512,11.18,30.884,1550874990.0805144
107.535,11.19,30.858,1550875000.568062
107.558,11.18,30.82,1550875011.0965002
107.585,11.17,30.807,1550875021.5858145
107.614,11.16,30.781,1550875032.127189
107.631,11.16,30.752,1550875042.669148
107.653,11.16,30.739,1550875053.1499968
107.667,11.16,30.716,1550875063.683908
107.679,11.15,30.7,1550875074.2236779
107.691,11.15,30.686,1550875084.7596707
107.706,11.15,30.675,1550875095.3284202
107.711,11.15,30.659,1550875105.8630702
107.718,11.15,30.648,1550875116.3988144
107.723,11.16,30.639,1550875126.928596
107.729,11.16,30.633,1550875137.4628928
107.735,11.16,30.626,1550875147.9848204
107.739,11.17,30.624,1550875158.5146022
107.744,11.17,30.62,1550875169.037635
107.75,11.17,30.627,1550875179.5423675
107.75,11.17,30.615,1550875190.0916064
107.758,11.17,30.625,1550875200.5837495
107.761,11.17,30.622,1550875211.0735855
107.763,11.19,30.608,1550875221.5841973
107.766,11.18,30.591,1550875232.127008
107.769,11.18,30.597,1550875242.6676376
107.77,11.19,30.616,1550875253.1564355
107.777,11.19,30.61,1550875263.669076
107.776,11.2,30.617,1550875274.1575286
107.776,11.2,30.616,1550875284.670057
107.776,11.2,30.606,1550875295.1929176
107.779,11.2,30.605,1550875305.715281
107.779,11.2,30.613,1550875316.235683
107.784,11.2,30.612,1550875326.8132713
107.782,11.21,30.625,1550875337.3638225
107.782,11.21,30.602,1550875347.8983824
107.784,11.21,30.617,1550875358.4255118
107.781,11.21,30.627,1550875368.9303586
107.776,11.21,30.636,1550875379.4239855
107.772,11.21,30.622,1550875389.964236
107.772,11.21,30.635,1550875400.4685035
107.771,11.21,30.622,1550875410.99374
107.77,11.21,30.629,1550875421.5237432
107.766,11.21,30.637,1550875432.0315206
107.758,11.21,30.623,1550875442.6538665
107.762,11.21,30.637,1550875453.2007957
107.76,11.21,30.644,1550875463.7091835
107.759,11.21,30.641,1550875474.232409
107.754,11.21,30.645,1550875484.7537677
107.754,11.21,30.645,1550875495.2311263
107.744,11.21,30.633,1550875505.780125
107.74,11.21,30.633,1550875516.2804337
107.737,11.21,30.637,1550875526.792632
107.733,11.21,30.619,1550875537.3244655
107.723,11.21,30.622,1550875547.8396766
107.72,11.2,30.629,1550875558.3681138
107.709,11.2,30.619,1550875568.9051049
107.706,11.2,30.625,1550875579.4196777
107.699,11.19,30.628,1550875589.9300706
107.691,11.2,30.631,1550875600.445479
107.685,11.19,30.623,1550875610.9781299
107.67,11.19,30.617,1550875621.5161808
107.659,11.18,30.621,1550875632.083685
107.651,11.19,30.611,1550875642.6359892
107.643,11.17,30.606,1550875653.1670434
107.634,11.17,30.599,1550875663.7069762
107.628,11.17,30.598,1550875674.2380552
107.621,11.16,30.587,1550875684.7619681
107.612,11.15,30.59,1550875695.2669814
107.604,11.15,30.583,1550875705.7769103
107.598,11.15,30.567,1550875716.3122118
107.59,11.15,30.557,1550875726.8420882
107.578,11.14,30.548,1550875737.362066
107.572,11.13,30.56,1550875747.8477628
107.562,11.13,30.535,1550875758.3900826
107.555,11.13,30.521,1550875768.9270782
107.553,11.12,30.518,1550875779.4486005
107.542,11.12,30.51,1550875789.9684803
107.529,11.11,30.506,1550875800.462026
107.526,11.11,30.49,1550875810.9715407
107.512,11.11,30.488,1550875821.472145
107.503,11.1,30.477,1550875831.9582055
107.495,11.1,30.458,1550875842.483963
107.482,11.09,30.433,1550875853.03561
107.474,11.09,30.422,1550875863.5731597
107.466,11.09,30.41,1550875874.1156552
107.453,11.08,30.399,1550875884.6472766
