Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.009,996.105,0.015,1719,1505.623,28.494,1550872415.96462
-0.01,996.11,0.015,1719,1505.584,28.478,1550872416.680302
-0.01,996.107,0.015,1719,1505.608,28.488,1550872417.4010794
-0.01,996.109,0.015,1719,1505.588,28.48,1550872418.1209087
-0.01,996.108,0.015,1719,1505.599,28.485,1550872418.8367782
-0.009,996.088,0.015,1719,1505.761,28.552,1550872419.5562484
-0.01,996.105,0.015,1719,1505.619,28.493,1550872420.2715564
-0.009,996.077,0.015,1719,1505.852,28.589,1550872420.9895868
-0.009,996.105,0.015,1719,1505.623,28.494,1550872421.7103007
-0.01,996.093,0.015,1719,1505.722,28.535,1550872422.4277868
-0.01,996.102,0.015,1719,1505.647,28.504,1550872423.142887
-0.01,996.099,0.015,1719,1505.671,28.514,1550872423.8567812
-0.009,996.082,0.015,1719,1505.812,28.573,1550872424.5668046
-0.01,996.074,0.015,1719,1505.879,28.601,1550872425.2767127
-0.01,996.093,0.015,1719,1505.718,28.534,1550872425.9969378
-0.009,996.06,0.015,1719,1505.993,28.648,1550872426.711897
-0.01,996.097,0.015,1719,1505.687,28.521,1550872427.4310966
-0.01,996.096,0.015,1719,1505.702,28.527,1550872428.1682656
-0.01,996.091,0.015,1719,1505.741,28.543,1550872428.8785143
-0.01,996.091,0.015,1719,1505.738,28.542,1550872429.590775
-0.009,996.075,0.015,1719,1505.875,28.599,1550872430.3089995
-0.01,996.09,0.015,1719,1505.75,28.547,1550872431.023907
-0.009,996.081,0.015,1719,1505.82,28.576,1550872431.7416613
-0.01,996.089,0.015,1719,1505.753,28.548,1550872432.4563327
-0.01,996.086,0.015,1719,1505.777,28.558,1550872433.1729274
-0.009,996.084,0.015,1719,1505.793,28.565,1550872433.8972392
-0.01,996.084,0.015,1719,1505.797,28.566,1550872434.615163
-0.009,996.085,0.015,1719,1505.785,28.561,1550872435.3391576
-0.009,996.083,0.015,1719,1505.804,28.57,1550872436.0556774
-0.009,996.075,0.015,1719,1505.875,28.599,1550872436.7698195
-0.009,996.082,0.015,1719,1505.812,28.573,1550872437.4836576
-0.01,996.048,0.015,1719,1506.095,28.69,1550872438.1935942
-0.009,996.061,0.015,1719,1505.989,28.646,1550872438.9036772
-0.009,996.049,0.015,1719,1506.083,28.686,1550872439.6271608
-0.01,996.074,0.015,1719,1505.883,28.602,1550872440.3406737
-0.009,996.074,0.015,1719,1505.883,28.602,1550872441.0535967
-0.01,996.056,0.015,1719,1506.033,28.664,1550872441.800363
-0.009,996.07,0.015,1719,1505.915,28.615,1550872442.5833497
-0.01,996.072,0.015,1719,1505.895,28.607,1550872443.3373766
-0.01,996.066,0.015,1719,1505.946,28.628,1550872444.0854597
