p,rh,t,ts
101.499,50.93,31.166,1550873365.99157
101.499,50.89,31.172,1550873368.45882
101.501,50.88,31.179,1550873370.92775
101.498,50.9,31.191,1550873373.39139
101.497,50.95,31.202,1550873375.85859
101.497,50.98,31.212,1550873378.32759
101.499,50.99,31.218,1550873380.79452
101.498,50.95,31.23,1550873383.26195
101.499,50.9,31.24,1550873385.73028
101.496,50.84,31.248,1550873388.19742
101.497,50.8,31.256,1550873390.66600
101.495,50.81,31.26,1550873393.13357
101.497,50.8,31.269,1550873395.60114
101.5,50.85,31.28,1550873398.06748
101.498,50.85,31.286,1550873400.53585
101.499,50.83,31.298,1550873403.00327
101.498,50.8,31.308,1550873405.46181
101.498,50.77,31.316,1550873407.92892
101.496,50.74,31.321,1550873410.39595
101.495,50.71,31.326,1550873412.86335
101.498,50.67,31.334,1550873415.33045
101.498,50.6,31.339,1550873417.79813
101.499,50.48,31.344,1550873420.26142
101.498,50.41,31.343,1550873422.73630
101.499,50.38,31.348,1550873425.20364
101.499,50.37,31.356,1550873427.66510
101.497,50.32,31.354,1550873430.13248
101.497,50.28,31.36,1550873432.59950
101.498,50.25,31.365,1550873435.06704
101.499,50.23,31.367,1550873437.53947
101.498,50.23,31.371,1550873440.00765
101.496,50.23,31.377,1550873442.47509
101.498,50.24,31.392,1550873444.94251
101.496,50.26,31.394,1550873447.41229
101.499,50.31,31.407,1550873449.88025
101.499,50.38,31.419,1550873452.34740
101.498,50.44,31.432,1550873454.80889
101.499,50.47,31.439,1550873457.27650
101.498,50.46,31.444,1550873459.74353
101.5,50.45,31.46,1550873462.20287
101.501,50.46,31.469,1550873464.67065
101.496,50.48,31.474,1550873467.13922
101.497,50.48,31.484,1550873469.60715
101.499,50.5,31.493,1550873472.07518
101.496,50.51,31.497,1550873474.54360
101.494,50.54,31.505,1550873477.01208
101.497,50.54,31.511,1550873479.47975
101.494,50.49,31.515,1550873481.94178
101.493,50.45,31.511,1550873484.40954
101.499,50.43,31.517,1550873486.87772
101.494,50.41,31.52,1550873489.34555
101.497,50.4,31.517,1550873491.81383
101.497,50.39,31.518,1550873494.27308
101.498,50.4,31.521,1550873496.74373
101.495,50.43,31.519,1550873499.20160
101.498,50.47,31.524,1550873501.66880
101.492,50.5,31.532,1550873504.13661
101.491,50.52,31.534,1550873506.60389
101.498,50.57,31.543,1550873509.07197
101.493,50.59,31.547,1550873511.53925
101.496,50.52,31.551,1550873513.99932
101.496,50.51,31.553,1550873516.46636
101.498,50.54,31.563,1550873518.93349
101.499,50.52,31.562,1550873521.40052
101.497,50.47,31.566,1550873523.86132
101.496,50.42,31.569,1550873526.31913
101.494,50.39,31.563,1550873528.78668
101.495,50.33,31.572,1550873531.25390
101.492,50.31,31.574,1550873533.71156
101.495,50.33,31.579,1550873536.17924
101.497,50.29,31.589,1550873538.64647
101.495,50.23,31.589,1550873541.11209
101.496,50.19,31.588,1550873543.57950
101.494,50.1,31.598,1550873546.04156
101.496,49.97,31.596,1550873548.50850
101.497,49.88,31.602,1550873550.97561
101.492,49.83,31.606,1550873553.44325
101.494,49.81,31.606,1550873555.91124
101.494,49.8,31.614,1550873558.37953
101.496,49.78,31.619,1550873560.84341
101.492,49.75,31.616,1550873563.31079
101.495,49.73,31.619,1550873565.77217
101.491,49.71,31.628,1550873568.24008
101.495,49.69,31.624,1550873570.71102
101.493,49.66,31.63,1550873573.17173
101.492,49.64,31.632,1550873575.63767
101.492,49.68,31.628,1550873578.10595
101.491,49.71,31.636,1550873580.57480
101.493,49.77,31.639,1550873583.04183
101.491,49.83,31.642,1550873585.51032
101.489,49.82,31.643,1550873587.97764
101.487,49.76,31.645,1550873590.44593
101.488,49.69,31.647,1550873592.91454
101.49,49.69,31.655,1550873595.38203
101.49,49.7,31.656,1550873597.85188
101.489,49.71,31.661,1550873600.31997
101.488,49.76,31.665,1550873602.78830
101.489,49.81,31.672,1550873605.25167
101.489,49.82,31.674,1550873607.71419
101.489,49.74,31.68,1550873610.17458
101.491,49.69,31.675,1550873612.64202
101.488,49.59,31.676,1550873615.10917
101.489,49.44,31.676,1550873617.57163
101.487,49.36,31.675,1550873620.03282
101.487,49.3,31.669,1550873622.50028
101.492,49.26,31.664,1550873624.96791
101.487,49.19,31.657,1550873627.43527
101.486,49.09,31.645,1550873629.90235
101.49,49.04,31.636,1550873632.37049
101.488,49.04,31.627,1550873634.82997
101.488,49.05,31.615,1550873637.29779
101.486,49.07,31.611,1550873639.76507
101.485,49.06,31.607,1550873642.22603
101.484,49.04,31.6,1550873644.69435
101.485,49.02,31.606,1550873647.16251
101.486,49.01,31.602,1550873649.62999
101.487,48.98,31.605,1550873652.09773
101.488,48.99,31.6,1550873654.56450
101.485,49.01,31.596,1550873657.03181
101.489,49.04,31.597,1550873659.49150
101.483,49.03,31.601,1550873661.95528
101.485,49.06,31.605,1550873664.42240
101.486,49.08,31.611,1550873666.88958
101.488,49.11,31.618,1550873669.35666
101.485,49.1,31.623,1550873671.82340
101.487,49.08,31.632,1550873674.29107
101.489,49.05,31.638,1550873676.75916
101.488,49.12,31.641,1550873679.22188
