"","ts","depth","p","dt","Toptode","O2Concentration","AirSaturation","SNoptode","Tec","Conductivity","Salinity","SNec","Chlorophyll","Turbidity","pW","station","SA","rho","Z","O2Comp","lat","lon"
"61","17.07.2018 10:45",2.9482728,133.747,"17.07.2018 20:45",27.901,241.017,98.479,829,27.922,61.248,38.618,1413,"772","884",29.616,2,38.80033393,1025.156173,2.944804474,194.405411374211,21.88765,-159.5269167
"62","17.07.2018 10:46",2.9516575,133.781,"17.07.2018 20:46",27.892,234.433,95.774,829,27.914,61.223,38.608,1413,"751","855",29.65,2,38.79028671,1025.151305,2.948185285,189.102694629915,21.88765,-159.5269167
"63","17.07.2018 10:46",2.99934195,134.26,"17.07.2018 20:46",27.887,230.227,94.047,829,27.909,61.264,38.641,1413,"745","854",30.129,2,38.82344244,1025.178016,2.995814441,185.67472716745,21.88765,-159.5269167
"64","17.07.2018 10:45",3.0145731,134.413,"17.07.2018 20:45",27.905,246.378,100.677,829,27.929,61.286,38.64,1413,"745","870",30.282,2,38.8224377,1025.170707,3.011027785,198.706907250112,21.88765,-159.5269167
"65","17.07.2018 10:50",3.2351759,136.629,"17.07.2018 20:50",26.889,25.288,10.148,829,26.94,61.402,39.555,1413,"694","726",32.498,2,39.74175751,1026.185776,3.231264496,20.2593632885972,21.88765,-159.5269167
"66","17.07.2018 10:46",3.51401545,139.43,"17.07.2018 20:46",27.881,225.223,91.993,829,27.899,61.331,38.697,1413,"828","863",35.299,2,38.87970607,1025.225705,3.509633842,181.583790020402,21.88765,-159.5269167
"67","17.07.2018 10:46",3.74915255,141.792,"17.07.2018 20:46",27.85,204.239,83.376,829,27.891,61.298,38.68,1413,"861","858",37.661,2,38.86262545,1025.216557,3.744485341,164.674722305752,21.88765,-159.5269167
"68","17.07.2018 10:46",3.76468235,141.948,"17.07.2018 20:46",27.763,178.346,72.694,829,27.808,61.286,38.74,1413,"835","853",37.817,2,38.92290872,1025.289255,3.759995798,143.730567895506,21.88765,-159.5269167
"69","17.07.2018 10:46",3.78598605,142.162,"17.07.2018 20:46",27.813,192.028,78.34,829,27.847,61.293,38.713,1413,"880","859",38.031,2,38.8957812,1025.256121,3.781272552,154.792192261584,21.88765,-159.5269167
"70","17.07.2018 10:46",3.80310865,142.334,"17.07.2018 20:46",27.783,185.16,75.498,829,27.816,61.293,38.739,1413,"916","847",38.203,2,38.92190394,1025.286023,3.798373522,149.227594696496,21.88765,-159.5269167
"71","17.07.2018 10:47",4.12385875,145.556,"17.07.2018 20:47",27.684,144.683,58.89,829,27.716,61.237,38.782,1413,"809","850",41.425,2,38.96510647,1025.352795,4.118703328,116.561259529551,21.88765,-159.5269167
"72","17.07.2018 10:46",4.1709459,146.029,"17.07.2018 20:46",27.711,155.537,63.338,829,27.754,61.255,38.763,1413,"817","850",41.898,2,38.9460167,1025.32615,4.165727857,125.324223050013,21.88765,-159.5269167
"73","17.07.2018 10:46",4.22022315,146.524,"17.07.2018 20:46",27.74,166.918,68.007,829,27.777,61.26,38.748,1413,"825","857",42.393,2,38.9309458,1025.307471,4.214940661,134.511897752896,21.88765,-159.5269167
"74","17.07.2018 10:47",4.3947343,148.277,"17.07.2018 20:47",27.633,126.048,51.259,829,27.659,61.213,38.812,1413,"800","855",44.146,2,38.99524771,1025.395341,4.389217703,101.524283024429,21.88765,-159.5269167
"75","17.07.2018 10:47",4.4297759,148.629,"17.07.2018 20:47",27.659,133.742,54.412,829,27.698,61.218,38.783,1413,"799","854",44.498,2,38.96611073,1025.360794,4.424211384,107.743181234526,21.88765,-159.5269167
"76","17.07.2018 10:47",4.54236695,149.76,"17.07.2018 20:47",27.613,111.025,45.133,829,27.642,61.191,38.81,1413,"774","851",45.629,2,38.99323804,1025.400065,4.536648209,89.4228211208033,21.88765,-159.5269167
"77","17.07.2018 10:47",4.78686175,152.216,"17.07.2018 20:47",27.594,93.421,37.964,829,27.632,61.142,38.783,1413,"773","854",48.085,2,38.96611019,1025.384062,4.780805335,75.2537778757634,21.88765,-159.5269167
"78","17.07.2018 10:47",5.0503706,154.863,"17.07.2018 20:47",27.534,68.965,27.996,829,27.573,61.118,38.814,1413,"901","883",50.732,2,38.99725616,1025.427955,5.043946671,55.5393991479843,21.88765,-159.5269167
"79","17.07.2018 10:47",5.05166475,154.876,"17.07.2018 20:47",27.567,80.853,32.84,829,27.616,61.13,38.788,1413,"877","868",50.745,2,38.9711334,1025.394229,5.04523901,65.1258745422757,21.88765,-159.5269167
"80","17.07.2018 10:47",5.126825,155.631,"17.07.2018 20:47",27.505,58.706,23.819,829,27.546,61.102,38.826,1413,"884","884",51.5,2,39.0093127,1025.446198,5.120293395,47.272393522141,21.88765,-159.5269167
"81","17.07.2018 10:48",5.4511589,158.889,"17.07.2018 20:48",27.474,44.563,18.071,829,27.513,61.097,38.85,1413,"910","972",54.758,2,39.03342552,1025.476513,5.444157468,35.8777492945538,21.88765,-159.5269167
"82","17.07.2018 10:50",5.45802785,158.958,"17.07.2018 20:50",26.652,6.093,2.434,829,26.845,61.437,39.662,1413,"1324","2381",54.827,2,39.84925927,1026.306893,5.451013592,4.8769699555503,21.88765,-159.5269167
"83","17.07.2018 10:48",5.5256223,159.637,"17.07.2018 20:48",27.446,29.872,12.107,829,27.482,61.099,38.877,1413,"1036","1040",55.506,2,39.06055289,1025.507355,5.518480807,24.0453964939184,21.88765,-159.5269167
"84","17.07.2018 10:48",5.53507955,159.732,"17.07.2018 20:48",27.404,25.369,10.275,829,27.457,61.096,38.895,1413,"1169","1052",55.601,2,39.07863786,1025.529163,5.527923834,20.4173515391833,21.88765,-159.5269167
"85","17.07.2018 10:48",5.5377674,159.759,"17.07.2018 20:48",27.389,23.241,9.41,829,27.433,61.1,38.919,1413,"1149","1049",55.628,2,39.10275117,1025.555132,5.530607579,18.7017669307846,21.88765,-159.5269167
