"";"ts";"depth";"p";"dt";"Toptode";"O2Concentration";"AirSaturation";"SNoptode";"Tec";"Conductivity";"Salinity";"SNec";"Chlorophyll";"Turbidity";"pW";"station"
"70";"2018-07-17 10:46:18";3.51401545;139.43;2018-07-17 20:46:18;"27.881";"225.223";"91.993";"829";"27.899";"61.331";"38.697";"1413";"828";"863";35.299;2
"71";"2018-07-17 10:46:25";3.74915255;141.792;2018-07-17 20:46:25;"27.85";"204.239";"83.376";"829";"27.891";"61.298";"38.68";"1413";"861";"858";37.661;2
"72";"2018-07-17 10:46:32";3.78598605;142.162;2018-07-17 20:46:32;"27.813";"192.028";"78.34";"829";"27.847";"61.293";"38.713";"1413";"880";"859";38.031;2
"73";"2018-07-17 10:46:38";3.80310865;142.334;2018-07-17 20:46:38;"27.783";"185.16";"75.498";"829";"27.816";"61.293";"38.739";"1413";"916";"847";38.203;2
"74";"2018-07-17 10:46:45";3.76468235;141.948;2018-07-17 20:46:45;"27.763";"178.346";"72.694";"829";"27.808";"61.286";"38.74";"1413";"835";"853";37.817;2
"75";"2018-07-17 10:46:52";4.22022315;146.524;2018-07-17 20:46:52;"27.74";"166.918";"68.007";"829";"27.777";"61.26";"38.748";"1413";"825";"857";42.393;2
"76";"2018-07-17 10:46:59";4.1709459;146.029;2018-07-17 20:46:59;"27.711";"155.537";"63.338";"829";"27.754";"61.255";"38.763";"1413";"817";"850";41.898;2
"77";"2018-07-17 10:47:06";4.12385875;145.556;2018-07-17 20:47:06;"27.684";"144.683";"58.89";"829";"27.716";"61.237";"38.782";"1413";"809";"850";41.425;2
"78";"2018-07-17 10:47:13";4.4297759;148.629;2018-07-17 20:47:13;"27.659";"133.742";"54.412";"829";"27.698";"61.218";"38.783";"1413";"799";"854";44.498;2
"79";"2018-07-17 10:47:19";4.3947343;148.277;2018-07-17 20:47:19;"27.633";"126.048";"51.259";"829";"27.659";"61.213";"38.812";"1413";"800";"855";44.146;2
"80";"2018-07-17 10:47:26";4.54236695;149.76;2018-07-17 20:47:26;"27.613";"111.025";"45.133";"829";"27.642";"61.191";"38.81";"1413";"774";"851";45.629;2
