X,Y,NomiluSona
-159.5262397,21.8870033,2.21414
-159.5261499,21.8870033,1.38679
-159.52606,21.8870033,0.58864
-159.5279465,21.88691994,0.72797
-159.5278567,21.88691994,2.47091
-159.5277668,21.88691994,3.85538
-159.527677,21.88691994,4.75784
-159.5275872,21.88691994,5.39719
-159.5274974,21.88691994,6.10981
-159.5274075,21.88691994,6.51394
-159.5273177,21.88691994,6.69208
-159.5272279,21.88691994,6.85125
-159.527138,21.88691994,6.9175
-159.5270482,21.88691994,6.83306
-159.5269584,21.88691994,6.66831
-159.5268685,21.88691994,6.40994
-159.5267787,21.88691994,6.09433
-159.5266889,21.88691994,5.79554
-159.526599,21.88691994,5.45511
-159.5265092,21.88691994,4.68299
-159.5264194,21.88691994,3.80299
-159.5263295,21.88691994,2.89819
-159.5262397,21.88691994,1.92922
-159.5261499,21.88691994,1.07274
-159.5279465,21.88683659,1.2834
-159.5278567,21.88683659,2.92281
-159.5277668,21.88683659,4.22223
-159.527677,21.88683659,5.11626
-159.5275872,21.88683659,5.76905
-159.5274974,21.88683659,6.30423
-159.5274075,21.88683659,6.53335
-159.5273177,21.88683659,6.84129
-159.5272279,21.88683659,6.95355
-159.527138,21.88683659,6.95373
-159.5270482,21.88683659,6.84753
-159.5269584,21.88683659,6.6743
-159.5268685,21.88683659,6.22485
-159.5267787,21.88683659,6.01357
-159.5266889,21.88683659,5.76915
-159.526599,21.88683659,5.35595
-159.5265092,21.88683659,4.46133
-159.5264194,21.88683659,3.39802
-159.5263295,21.88683659,2.40017
-159.5262397,21.88683659,1.41761
-159.5261499,21.88683659,0.61958
-159.5279465,21.88675323,2.02047
-159.5278567,21.88675323,3.33654
-159.5277668,21.88675323,4.74709
-159.527677,21.88675323,5.66425
-159.5275872,21.88675323,6.16141
-159.5274974,21.88675323,6.57308
-159.5274075,21.88675323,6.71075
-159.5273177,21.88675323,6.96282
-159.5272279,21.88675323,6.95679
-159.527138,21.88675323,6.91632
-159.5270482,21.88675323,6.83905
-159.5269584,21.88675323,6.59343
-159.5268685,21.88675323,6.26462
-159.5267787,21.88675323,6.0549
-159.5266889,21.88675323,5.77726
-159.526599,21.88675323,5.27413
-159.5265092,21.88675323,3.94748
-159.5264194,21.88675323,2.61033
-159.5263295,21.88675323,1.78948
-159.5262397,21.88675323,0.94974
-159.5280363,21.88666987,0.89413
-159.5279465,21.88666987,2.52878
-159.5278567,21.88666987,3.93309
-159.5277668,21.88666987,5.32608
-159.527677,21.88666987,6.03448
-159.5275872,21.88666987,6.30507
-159.5274974,21.88666987,6.72302
-159.5274075,21.88666987,6.87688
-159.5273177,21.88666987,7.07866
-159.5272279,21.88666987,7.06173
-159.527138,21.88666987,6.95177
-159.5270482,21.88666987,6.79447
-159.5269584,21.88666987,6.44845
-159.5268685,21.88666987,6.15172
-159.5267787,21.88666987,5.94482
-159.5266889,21.88666987,5.66703
-159.526599,21.88666987,5.09623
-159.5265092,21.88666987,3.79995
-159.5264194,21.88666987,2.37046
-159.5263295,21.88666987,1.376
-159.5262397,21.88666987,0.48137
-159.5280363,21.88658652,1.37508
-159.5279465,21.88658652,2.8472
-159.5278567,21.88658652,4.3794
-159.5277668,21.88658652,5.74824
