p_int,rh_int,t_int,ts
106.993,10.21,29.282,1550801490.1014028
106.989,10.21,29.266,1550801500.6381571
106.981,10.21,29.254,1550801511.1614764
106.984,10.21,29.245,1550801521.6660144
106.978,10.21,29.229,1550801532.1983778
106.975,10.21,29.211,1550801542.733435
106.971,10.21,29.19,1550801553.239299
106.967,10.21,29.177,1550801563.7605362
106.964,10.21,29.154,1550801574.2717729
106.959,10.2,29.137,1550801584.806589
106.959,10.21,29.126,1550801595.3393314
106.951,10.21,29.11,1550801605.8695023
106.95,10.21,29.089,1550801616.3923364
106.938,10.21,29.076,1550801626.9347107
106.947,10.21,29.069,1550801637.4365726
106.939,10.21,29.052,1550801647.9628522
106.94,10.21,29.036,1550801658.4943898
106.935,10.22,29.026,1550801668.9893997
106.932,10.22,28.999,1550801679.5200522
106.926,10.21,28.994,1550801690.0204782
106.93,10.21,28.971,1550801700.543123
106.912,10.22,28.955,1550801711.0810235
106.902,10.22,28.958,1550801721.5703053
106.876,10.22,28.938,1550801732.090039
106.858,10.32,28.92,1550801742.6159704
106.766,10.43,28.98,1550801753.1441782
106.755,10.4,29.004,1550801763.6955822
106.758,10.36,29.064,1550801774.217398
106.748,10.34,29.092,1550801784.739071
106.787,10.4,29.109,1550801795.2681582
106.792,10.41,29.127,1550801805.7889068
106.803,10.39,29.146,1550801816.3146179
106.808,10.38,29.156,1550801826.8454056
106.815,10.37,29.161,1550801837.371888
106.826,10.36,29.169,1550801847.8862896
106.83,10.35,29.182,1550801858.374329
106.839,10.34,29.186,1550801868.892529
106.847,10.32,29.191,1550801879.424388
106.855,10.32,29.207,1550801889.9444494
106.859,10.31,29.222,1550801900.4505074
106.866,10.3,29.235,1550801910.9705787
106.874,10.29,29.236,1550801921.5204675
106.881,10.28,29.255,1550801932.0261948
106.883,10.29,29.248,1550801942.5746741
106.897,10.26,29.271,1550801953.1427147
106.908,10.26,29.266,1550801963.6643584
106.912,10.25,29.28,1550801974.1795607
106.919,10.24,29.298,1550801984.6670396
106.922,10.24,29.298,1550801995.1949058
106.93,10.23,29.296,1550802005.7342143
106.94,10.23,29.304,1550802016.2457058
106.947,10.22,29.314,1550802026.7533734
106.95,10.22,29.323,1550802037.2660208
106.959,10.22,29.328,1550802047.7926729
106.966,10.22,29.335,1550802058.3172777
106.973,10.21,29.358,1550802068.831776
106.977,10.2,29.372,1550802079.3324175
106.983,10.2,29.394,1550802089.8206303
106.985,10.21,29.4,1550802100.3385975
106.994,10.29,29.383,1550802110.8573267
106.979,10.29,29.398,1550802121.3674593
106.992,10.3,29.375,1550802131.9244912
106.998,10.3,29.361,1550802142.4619796
107.01,10.28,29.363,1550802152.9908214
107.016,10.28,29.377,1550802163.4979203
107.033,10.28,29.372,1550802174.0219676
107.103,10.31,29.361,1550802184.5421247
107.105,10.31,29.332,1550802195.094823
107.124,10.31,29.309,1550802205.6259942
107.132,10.31,29.301,1550802216.1315825
107.14,10.32,29.292,1550802226.6223824
107.152,10.32,29.28,1550802237.1505015
107.17,10.33,29.273,1550802247.6796257
107.18,10.34,29.255,1550802258.2218683
107.198,10.34,29.247,1550802268.7495427
107.215,10.35,29.256,1550802279.2387173
107.231,10.36,29.246,1550802289.7493854
107.247,10.38,29.238,1550802300.2398381
107.266,10.39,29.23,1550802310.770727
107.287,10.41,29.237,1550802321.3015044
107.301,10.42,29.242,1550802331.8404822
107.32,10.43,29.238,1550802342.3735085
107.34,10.44,29.232,1550802352.9054177
107.355,10.46,29.237,1550802363.4457593
107.383,10.47,29.248,1550802373.991885
107.399,10.49,29.254,1550802384.5191119
107.421,10.51,29.255,1550802395.0455174
107.439,10.52,29.282,1550802405.5433156
107.456,10.53,29.287,1550802416.040924
107.465,10.54,29.284,1550802426.5866282
107.478,10.56,29.303,1550802437.1295905
107.487,10.56,29.305,1550802447.6686664
107.497,10.58,29.31,1550802458.2163754
107.507,10.59,29.334,1550802468.7402108
107.518,10.6,29.358,1550802479.305528
107.521,10.61,29.364,1550802489.8259206
107.527,10.61,29.381,1550802500.3640704
107.526,10.63,29.39,1550802510.8983357
107.526,10.63,29.404,1550802521.43632
107.527,10.65,29.426,1550802531.9420462
107.52,10.65,29.412,1550802542.5252526
107.516,10.65,29.44,1550802553.0723019
107.509,10.66,29.442,1550802563.6118903
107.506,10.67,29.473,1550802574.0968673
107.503,10.67,29.49,1550802584.5736964
107.494,10.68,29.488,1550802595.086981
107.486,10.68,29.495,1550802605.6137106
107.482,10.68,29.512,1550802616.126322
107.47,10.68,29.524,1550802626.6503186
107.47,10.68,29.536,1550802637.176229
107.454,10.68,29.548,1550802647.670636
107.445,10.68,29.553,1550802658.1616237
107.439,10.68,29.546,1550802668.7016745
107.425,10.68,29.565,1550802679.2353635
107.416,10.68,29.569,1550802689.757293
107.4,10.69,29.572,1550802700.2824583
107.395,10.68,29.576,1550802710.814321
107.384,10.68,29.588,1550802721.307866
107.377,10.68,29.582,1550802731.8466477
107.362,10.68,29.594,1550802742.3301675
107.358,10.68,29.588,1550802752.840721
107.346,10.67,29.585,1550802763.3742156
107.345,10.68,29.598,1550802773.8826163
107.337,10.68,29.597,1550802784.4075022
107.324,10.68,29.603,1550802794.938556
107.312,10.67,29.602,1550802805.4726913
107.301,10.67,29.602,1550802815.9841022
107.293,10.66,29.595,1550802826.5033891
107.286,10.66,29.603,1550802837.020616
107.275,10.66,29.589,1550802847.5720596
107.266,10.66,29.603,1550802858.0848536
107.261,10.65,29.589,1550802868.6035004
107.249,10.66,29.58,1550802879.140797
107.244,10.65,29.58,1550802889.6636822
107.229,10.65,29.58,1550802900.193978
107.23,10.65,29.588,1550802910.690314
107.222,10.65,29.578,1550802921.206953
107.208,10.64,29.577,1550802931.7103057
107.201,10.64,29.565,1550802942.2557187
107.203,10.64,29.559,1550802952.7897246
107.185,10.64,29.542,1550802963.326129
107.184,10.63,29.533,1550802973.868716
107.181,10.63,29.538,1550802984.3901696
107.167,10.63,29.535,1550802994.8949385
107.167,10.63,29.526,1550803005.430865
107.149,10.62,29.509,1550803015.9764795
107.149,10.62,29.497,1550803026.5165262
107.147,10.63,29.488,1550803037.046979
107.132,10.62,29.476,1550803047.5797708
107.124,10.62,29.468,1550803058.1107826
107.12,10.62,29.475,1550803068.6027584
107.108,10.62,29.449,1550803079.1193185
107.108,10.62,29.446,1550803089.6060884
107.101,10.62,29.421,1550803100.1431112
107.104,10.62,29.428,1550803110.663344
107.101,10.61,29.41,1550803121.211286
107.086,10.61,29.395,1550803131.750051
107.084,10.62,29.374,1550803142.2772453
107.079,10.61,29.373,1550803152.7918804
107.073,10.61,29.355,1550803163.2757287
107.067,10.61,29.338,1550803173.8045316
107.059,10.61,29.326,1550803184.3383253
107.053,10.61,29.311,1550803194.8693755
107.049,10.61,29.294,1550803205.3982134
107.046,10.61,29.283,1550803215.9557142
107.04,10.61,29.272,1550803226.4733696
107.037,10.61,29.264,1550803237.0063684
107.028,10.6,29.26,1550803247.5237882
107.021,10.61,29.247,1550803258.0515754
107.02,10.61,29.237,1550803268.5435054
107.019,10.61,29.216,1550803279.0753741
107.016,10.6,29.205,1550803289.617449
107.013,10.6,29.193,1550803300.1543167
107.01,10.6,29.177,1550803310.6854799
107.01,10.61,29.165,1550803321.2180243
106.998,10.6,29.167,1550803331.7099638
106.997,10.59,29.146,1550803342.2419677
106.998,10.6,29.136,1550803352.766876
106.992,10.6,29.124,1550803363.2669723
106.988,10.6,29.108,1550803373.797771
106.982,10.6,29.097,1550803384.3645053
106.978,10.6,29.081,1550803394.884628
106.97,10.59,29.06,1550803405.4186077
106.969,10.59,29.055,1550803415.9418075
106.968,10.6,29.044,1550803426.474111
106.957,10.6,29.038,1550803436.9933772
106.957,10.6,29.014,1550803447.5229304
106.955,10.6,29.0,1550803458.0441632
106.946,10.59,29.0,1550803468.5463173
106.951,10.6,28.98,1550803479.0797024
106.939,10.6,28.979,1550803489.5848086
106.935,10.6,28.955,1550803500.105523
106.941,10.6,28.937,1550803510.638324
106.931,10.6,28.931,1550803521.1889067
106.929,10.6,28.919,1550803531.7076046
106.926,10.6,28.913,1550803542.2012458
106.923,10.6,28.897,1550803552.7231777
106.921,10.6,28.884,1550803563.2586799
106.917,10.61,28.882,1550803573.802134
106.917,10.6,28.869,1550803584.3227043
106.915,10.6,28.865,1550803594.815795
106.901,10.6,28.848,1550803605.331222
106.875,10.6,28.83,1550803615.8653965
106.877,10.61,28.824,1550803626.385215
106.822,10.66,28.867,1550803636.901434
106.799,10.66,28.902,1550803647.4069288
106.8,10.64,28.924,1550803657.9455023
106.801,10.57,28.944,1550803668.458317
106.8,10.55,28.94,1550803679.0046308
106.809,10.55,28.955,1550803689.532535
106.817,10.54,28.984,1550803700.0181742
106.82,10.54,28.974,1550803710.5515954
106.826,10.54,28.984,1550803721.0863216
106.832,10.54,28.986,1550803731.6062012
106.837,10.54,28.991,1550803742.153737
106.841,10.54,29.0,1550803752.7140343
106.849,10.54,29.003,1550803763.2403026
106.855,10.54,29.013,1550803773.76732
106.865,10.54,29.023,1550803784.2994854
106.871,10.54,29.025,1550803794.8417737
106.882,10.54,29.039,1550803805.384334
106.892,10.54,29.05,1550803815.9207938
106.901,10.54,29.064,1550803826.4270945
106.91,10.55,29.068,1550803836.9397826
106.917,10.54,29.074,1550803847.4678917
106.93,10.55,29.084,1550803857.989924
106.94,10.55,29.093,1550803868.5210288
106.951,10.55,29.11,1550803879.0204632
106.961,10.56,29.121,1550803889.5353172
106.972,10.56,29.133,1550803900.0519357
106.986,10.56,29.158,1550803910.530329
106.995,10.57,29.169,1550803921.0233877
107.005,10.57,29.17,1550803931.5549965
107.013,10.57,29.185,1550803942.0944984
107.024,10.57,29.205,1550803952.5948813
107.036,10.58,29.223,1550803963.111345
107.053,10.58,29.238,1550803973.6403425
107.067,10.58,29.244,1550803984.182553
107.075,10.55,29.29,1550803994.7129364
107.101,10.54,29.351,1550804005.239701
107.132,10.7,29.326,1550804015.7803965
107.185,10.7,29.314,1550804026.2790272
107.196,10.7,29.292,1550804036.8121321
107.21,10.69,29.274,1550804047.3333588
107.226,10.68,29.261,1550804057.8733687
107.24,10.69,29.26,1550804068.3980517
107.257,10.68,29.258,1550804078.9244878
107.281,10.68,29.261,1550804089.4568024
107.297,10.68,29.276,1550804099.9674263
107.316,10.68,29.276,1550804110.4630241
107.335,10.69,29.279,1550804120.9887815
107.352,10.7,29.282,1550804131.5100932
107.375,10.71,29.298,1550804142.0161467
107.389,10.71,29.292,1550804152.5463521
107.409,10.71,29.3,1550804163.1151962
107.429,10.73,29.333,1550804173.6647782
107.444,10.74,29.334,1550804184.197409
107.461,10.75,29.345,1550804194.7272847
107.478,10.75,29.366,1550804205.240478
107.505,10.76,29.377,1550804215.7719305
