id,time,vlt_file,p,p_water,depth,t,oxygen_conc,oxygen_sat,H2S_conc,mean_depth,mean_oxygen_conc,sd_oxygen_conc,mean_oxygen_sat,sd_oxygen_sat,FeS_current
28,1550941651,20190223_watercolumn-voltammetry_NF07-028,125.435,23.454,2.31,23.838417,,,,,,,,,
145,1550944101,20190223_watercolumn-voltammetry_NF07-145,126.355,24.374,2.40,21.745399,,,,,,,,,
30,1550941683,20190223_watercolumn-voltammetry_NF07-030,127.944,25.963,2.56,23.669683,,,,,,,,,
32,1550941716,20190223_watercolumn-voltammetry_NF07-032,127.969,25.988,2.56,23.391675,260.08,150.9709802,,,,,,,
31,1550941700,20190223_watercolumn-voltammetry_NF07-031,128.01,26.029,2.56,23.507981,270.11,157.1599366,,2.69,271.1,8.065758827,158.9,5.835401915,
34,1550941750,20190223_watercolumn-voltammetry_NF07-034,130.564,28.583,2.82,23.158303,271.486297,160.1350976,,,,,,,
33,1550941733,20190223_watercolumn-voltammetry_NF07-033,130.575,28.594,2.82,23.27912,282.83,167.193969,,,,,,,
38,1550941818,20190223_watercolumn-voltammetry_NF07-038,132.202,30.221,2.98,22.784616,197.87,117.4091582,,,,,,,
36,1550941783,20190223_watercolumn-voltammetry_NF07-036,132.204,30.223,2.98,22.941809,216.33,128.7136685,,3.05,203.1,32.31206746,121.1,19.36900314,
35,1550941767,20190223_watercolumn-voltammetry_NF07-035,132.218,30.237,2.98,23.048343,,,,,,,,,
37,1550941801,20190223_watercolumn-voltammetry_NF07-037,132.248,30.267,2.98,22.85631,211.3168519,125.587101,,,,,,,
40,1550941852,20190223_watercolumn-voltammetry_NF07-040,133.639,31.658,3.12,22.609151,184.22,110.1550323,,,,,,,
41,1550941869,20190223_watercolumn-voltammetry_NF07-041,133.64,31.659,3.12,22.546923,151.40,90.43305475,,,,,,,
39,1550941835,20190223_watercolumn-voltammetry_NF07-039,133.664,31.683,3.12,22.688385,257.5553716,154.2507458,,,,,,,
144,1550944084,20190223_watercolumn-voltammetry_NF07-144,134.601,32.62,3.21,21.72395,99.10,58.75632025,,,,,,,
43,1550941903,20190223_watercolumn-voltammetry_NF07-043,134.921,32.94,3.24,22.413263,140.71,84.65428519,,,,,,,
42,1550941886,20190223_watercolumn-voltammetry_NF07-042,134.93,32.949,3.25,22.470922,133.63,80.47878457,,3.24,129.2,17.77194888,77.5,11.03793269,
44,1550941919,20190223_watercolumn-voltammetry_NF07-044,134.94,32.959,3.25,22.35992,,,,,,,,,
45,1550941936,20190223_watercolumn-voltammetry_NF07-045,134.94,32.959,3.25,22.318478,143.5269286,86.21573926,,,,,,,
46,1550941953,20190223_watercolumn-voltammetry_NF07-046,136.537,34.556,3.40,22.275303,153.23,93.06064796,,,,,,,
47,1550941969,20190223_watercolumn-voltammetry_NF07-047,136.722,34.741,3.42,22.227798,184.34,112.017064,,3.43,163.1,15.01376568,99.2,9.075426806,
48,1550941985,20190223_watercolumn-voltammetry_NF07-048,137.148,35.167,3.46,22.195526,151.81,92.48271905,,,,,,,
49,1550942001,20190223_watercolumn-voltammetry_NF07-049,138.703,36.722,3.62,22.155599,115.53,71.12562384,,,,,,,
51,1550942032,20190223_watercolumn-voltammetry_NF07-051,138.706,36.725,3.62,22.08838,79.78,49.0581202,,3.62,90.3,17.8998042,55.6,11.05153151,
52,1550942049,20190223_watercolumn-voltammetry_NF07-052,138.716,36.735,3.62,22.061889,75.67,46.51311909,,,,,,,
50,1550942016,20190223_watercolumn-voltammetry_NF07-050,138.722,36.741,3.62,22.120993,,,,,,,,,
53,1550942066,20190223_watercolumn-voltammetry_NF07-053,140.293,38.312,3.77,22.024812,73.78,45.84035006,,,,,,,
55,1550942099,20190223_watercolumn-voltammetry_NF07-055,140.329,38.348,3.78,21.977812,60.5406457,37.59129147,,3.78,58.6,9.847034525,36.4,6.122843882,
54,1550942082,20190223_watercolumn-voltammetry_NF07-054,140.346,38.365,3.78,22.004841,51.46,31.97184757,,,,,,,
56,1550942115,20190223_watercolumn-voltammetry_NF07-056,140.356,38.375,3.78,21.953911,48.47,30.09034326,,,,,,,
57,1550942131,20190223_watercolumn-voltammetry_NF07-057,142.006,40.025,3.94,21.935068,,,,,,,,,
58,1550942148,20190223_watercolumn-voltammetry_NF07-058,142.103,40.122,3.95,21.914361,51.01,32.04004048,,,,,,,
60,1550942179,20190223_watercolumn-voltammetry_NF07-060,143.004,41.023,4.04,21.883464,50.19,31.70606922,,4.02,50.6,0.338908886,31.9,0.173476351,
59,1550942163,20190223_watercolumn-voltammetry_NF07-059,143.218,41.237,4.06,21.901376,,,,,,,,,
61,1550942195,20190223_watercolumn-voltammetry_NF07-061,143.365,41.384,4.08,21.868481,50.70,32.10058639,,,,,,,
143,1550944068,20190223_watercolumn-voltammetry_NF07-143,144.265,42.284,4.16,21.720419,18.64,11.84736985,,4.21,30.5,11.72216058,19.5,7.417003379,
141,1550944020,20190223_watercolumn-voltammetry_NF07-141,144.435,42.454,4.18,21.717288,,,,,,,,,
142,1550944044,20190223_watercolumn-voltammetry_NF07-142,144.587,42.606,4.20,21.716089,19.29,12.28645849,,,,,,,
62,1550942211,20190223_watercolumn-voltammetry_NF07-062,145.561,43.58,4.29,21.852765,34.03,21.86970559,,,,,,,
