p_int,rh_int,t_int,ts
107.986,10.01,33.985,1550795261.051088
107.974,10.02,33.914,1550795271.584391
107.944,10.03,33.845,1550795282.1300063
107.928,10.04,33.771,1550795292.671623
107.888,10.05,33.707,1550795303.170154
107.853,10.06,33.64,1550795313.7094045
107.833,10.06,33.571,1550795324.2397826
107.812,10.07,33.51,1550795334.7493353
107.8,10.08,33.435,1550795345.2785957
107.818,10.09,33.377,1550795355.8104374
107.824,10.1,33.313,1550795366.2927654
107.791,10.11,33.248,1550795376.8279223
107.808,10.11,33.193,1550795387.3383148
107.796,10.12,33.127,1550795397.8584235
107.784,10.13,33.062,1550795408.4049704
107.777,10.14,33.004,1550795418.934336
107.774,10.14,32.945,1550795429.448163
107.76,10.15,32.884,1550795439.9392025
107.751,10.16,32.809,1550795450.482244
107.745,10.17,32.767,1550795461.009362
107.723,10.18,32.704,1550795471.5445106
107.719,10.18,32.648,1550795482.0748024
107.71,10.2,32.603,1550795492.581376
107.696,10.2,32.544,1550795503.0653608
107.689,10.21,32.496,1550795513.5677316
107.677,10.2,32.441,1550795524.1172695
107.663,10.22,32.383,1550795534.6703095
107.653,10.23,32.35,1550795545.18314
107.643,10.24,32.292,1550795555.7155669
107.631,10.24,32.242,1550795566.2393522
107.616,10.25,32.191,1550795576.7640793
107.604,10.26,32.141,1550795587.2948954
107.596,10.26,32.109,1550795597.8004065
107.573,10.26,32.057,1550795608.3117974
107.562,10.27,32.011,1550795618.814527
107.554,10.29,31.957,1550795629.3610191
107.539,10.28,31.917,1550795639.84721
107.538,10.29,31.874,1550795650.3374152
107.53,10.3,31.821,1550795660.8684888
107.518,10.3,31.783,1550795671.3575206
107.506,10.31,31.743,1550795681.8616254
107.496,10.31,31.696,1550795692.391764
107.483,10.34,31.632,1550795702.9786742
107.486,10.33,31.607,1550795713.4889517
107.471,10.33,31.555,1550795724.0196283
107.469,10.34,31.51,1550795734.531667
107.449,10.35,31.478,1550795745.021343
107.442,10.35,31.429,1550795755.5427692
107.436,10.36,31.394,1550795766.0714264
107.422,10.36,31.353,1550795776.6116629
107.412,10.37,31.314,1550795787.1447468
107.412,10.38,31.27,1550795797.6747816
107.402,10.37,31.24,1550795808.1706076
107.397,10.38,31.188,1550795818.6966715
107.394,10.38,31.152,1550795829.2101188
107.379,10.39,31.121,1550795839.7024078
107.381,10.39,31.07,1550795850.2396603
107.366,10.4,31.042,1550795860.728867
107.362,10.4,31.005,1550795871.2576423
107.353,10.41,30.956,1550795881.7960439
107.346,10.41,30.913,1550795892.3253818
107.331,10.42,30.891,1550795902.8444364
107.337,10.42,30.862,1550795913.371314
107.327,10.42,30.841,1550795923.8673747
107.315,10.42,30.795,1550795934.364747
107.309,10.44,30.756,1550795944.89269
107.304,10.43,30.75,1550795955.393007
107.29,10.43,30.696,1550795965.9364936
107.291,10.45,30.675,1550795976.4294443
107.274,10.44,30.633,1550795986.9396598
107.275,10.45,30.606,1550795997.4644978
107.262,10.45,30.569,1550796008.0068805
107.267,10.45,30.546,1550796018.5072925
107.239,10.45,30.515,1550796029.0193162
107.223,10.47,30.479,1550796039.542315
107.212,10.46,30.451,1550796050.075505
107.212,10.47,30.419,1550796060.6057925
107.217,10.47,30.391,1550796071.0994625
107.212,10.47,30.354,1550796081.6269686
107.212,10.48,30.334,1550796092.1266181
107.221,10.48,30.294,1550796102.6644711
107.196,10.48,30.264,1550796113.1966405
107.188,10.49,30.237,1550796123.7155745
107.189,10.49,30.212,1550796134.246342
107.184,10.5,30.187,1550796144.7615628
107.181,10.5,30.161,1550796155.2622292
107.182,10.5,30.121,1550796165.8024724
107.173,10.5,30.095,1550796176.3214173
107.162,10.5,30.079,1550796186.8136876
107.164,10.51,30.04,1550796197.331006
107.151,10.51,30.018,1550796207.8381608
107.127,10.51,29.99,1550796218.3684404
107.127,10.51,29.968,1550796228.9055033
107.132,10.52,29.94,1550796239.4354181
107.133,10.52,29.919,1550796249.9429662
107.124,10.53,29.887,1550796260.4772959
107.128,10.53,29.886,1550796270.976593
107.119,10.53,29.855,1550796281.4988933
107.104,10.54,29.828,1550796292.0216625
107.097,10.53,29.808,1550796302.5828018
107.096,10.53,29.798,1550796313.1484642
107.091,10.54,29.779,1550796323.6493042
107.081,10.54,29.737,1550796334.1772933
107.082,10.54,29.725,1550796344.6549847
107.048,10.54,29.693,1550796355.161489
107.031,10.55,29.662,1550796365.680098
106.991,10.63,29.685,1550796376.2165625
106.964,10.58,29.727,1550796386.748637
106.962,10.57,29.746,1550796397.2408712
106.958,10.57,29.74,1550796407.7703044
106.962,10.57,29.741,1550796418.3128026
106.967,10.57,29.747,1550796428.8383095
106.972,10.57,29.745,1550796439.3557003
106.978,10.57,29.742,1550796449.889394
106.988,10.57,29.761,1550796460.3859363
106.999,10.57,29.754,1550796470.9134593
107.005,10.57,29.769,1550796481.4202802
107.013,10.57,29.76,1550796491.9333556
107.025,10.56,29.762,1550796502.4620292
107.029,10.56,29.77,1550796512.969553
107.029,10.57,29.773,1550796523.514173
107.038,10.56,29.785,1550796534.0143502
107.042,10.56,29.782,1550796544.5698354
107.054,10.55,29.803,1550796555.0883725
107.061,10.55,29.804,1550796565.6030607
107.074,10.54,29.813,1550796576.11124
107.085,10.54,29.822,1550796586.6404574
107.093,10.54,29.826,1550796597.1579607
107.103,10.52,29.832,1550796607.6955671
107.115,10.53,29.834,1550796618.2167566
