p,rh,t,ts
101.467,74.43,20.145,1550855375.05416
101.466,74.38,20.144,1550855377.51187
101.465,74.36,20.156,1550855379.97959
101.466,74.34,20.159,1550855382.43744
101.466,74.32,20.167,1550855384.90523
101.465,74.31,20.169,1550855387.36420
101.465,74.32,20.174,1550855389.82418
101.465,74.33,20.18,1550855392.29140
101.462,74.33,20.184,1550855394.76142
101.464,74.31,20.191,1550855397.22939
101.465,74.28,20.195,1550855399.70024
101.467,74.26,20.198,1550855402.16469
101.464,74.24,20.205,1550855404.63536
101.462,74.22,20.206,1550855407.09420
101.463,74.21,20.219,1550855409.56426
101.464,74.21,20.224,1550855412.03327
101.465,74.23,20.232,1550855414.50220
101.463,74.23,20.237,1550855416.97193
101.466,74.23,20.246,1550855419.44009
101.467,74.24,20.251,1550855421.90765
101.466,74.25,20.259,1550855424.37516
101.462,74.26,20.252,1550855426.84260
101.463,74.26,20.274,1550855429.30975
101.467,74.24,20.276,1550855431.77696
101.465,74.2,20.281,1550855434.24432
101.464,74.16,20.289,1550855436.71475
101.467,74.12,20.289,1550855439.18439
101.463,74.08,20.286,1550855441.64435
101.465,74.04,20.292,1550855444.11447
101.466,74.01,20.288,1550855446.58516
101.468,73.98,20.296,1550855449.05422
101.464,73.93,20.293,1550855451.52344
101.465,73.88,20.298,1550855453.99346
101.466,73.85,20.296,1550855456.46345
101.464,73.83,20.297,1550855458.93415
101.465,73.83,20.297,1550855461.39644
101.467,73.84,20.302,1550855463.86436
101.466,73.84,20.305,1550855466.33231
101.469,73.85,20.309,1550855468.79938
101.468,73.84,20.315,1550855471.26667
101.465,73.8,20.314,1550855473.73576
101.467,73.77,20.32,1550855476.20295
101.466,73.72,20.316,1550855478.66436
101.468,73.68,20.326,1550855481.13173
101.468,73.63,20.327,1550855483.59888
101.468,73.58,20.328,1550855486.06452
101.47,73.56,20.344,1550855488.53433
101.47,73.54,20.346,1550855491.00516
101.47,73.54,20.356,1550855493.47219
101.468,73.53,20.368,1550855495.93907
101.467,73.53,20.378,1550855498.40618
101.469,73.55,20.385,1550855500.86402
101.467,73.53,20.395,1550855503.32380
101.472,73.51,20.41,1550855505.79104
101.47,73.46,20.429,1550855508.26014
101.468,73.4,20.436,1550855510.72783
101.466,73.36,20.443,1550855513.19503
101.467,73.33,20.453,1550855515.66240
101.471,73.3,20.465,1550855518.12950
101.47,73.27,20.474,1550855520.59636
101.469,73.23,20.486,1550855523.06359
101.47,73.18,20.495,1550855525.53064
101.466,73.12,20.493,1550855527.99404
101.473,73.05,20.5,1550855530.46101
101.467,73.01,20.508,1550855532.92822
101.462,73,20.507,1550855535.39433
101.467,72.99,20.516,1550855537.86160
101.466,72.95,20.517,1550855540.32973
101.464,72.92,20.517,1550855542.79381
101.465,72.88,20.519,1550855545.26066
101.464,72.85,20.519,1550855547.72773
101.465,72.83,20.519,1550855550.19518
101.471,72.82,20.525,1550855552.66503
101.469,72.79,20.524,1550855555.13444
101.471,72.79,20.527,1550855557.60770
101.469,72.8,20.524,1550855560.07404
101.47,72.81,20.524,1550855562.54540
101.47,72.82,20.522,1550855565.01259
101.464,72.84,20.525,1550855567.47956
101.461,72.85,20.525,1550855569.94839
101.469,72.85,20.528,1550855572.41589
101.466,72.88,20.528,1550855574.88351
101.473,72.91,20.538,1550855577.35076
101.464,72.96,20.539,1550855579.81780
101.469,72.97,20.545,1550855582.28438
101.468,72.96,20.546,1550855584.74429
101.469,72.93,20.563,1550855587.21126
101.467,72.89,20.568,1550855589.67815
101.465,72.87,20.574,1550855592.14989
101.471,72.83,20.585,1550855594.61984
101.471,72.79,20.589,1550855597.08982
101.471,72.77,20.595,1550855599.55976
101.466,72.74,20.601,1550855602.03232
101.47,72.71,20.607,1550855604.50152
101.47,72.66,20.605,1550855606.97259
101.468,72.63,20.614,1550855609.44317
101.468,72.62,20.619,1550855611.91313
101.469,72.57,20.622,1550855614.37632
101.463,72.52,20.623,1550855616.84593
101.465,72.48,20.626,1550855619.31506
101.467,72.47,20.629,1550855621.78433
101.469,72.47,20.635,1550855624.25472
101.468,72.48,20.647,1550855626.72265
101.465,72.47,20.653,1550855629.18576
101.467,72.49,20.656,1550855631.65289
101.466,72.5,20.66,1550855634.11434
101.469,72.5,20.672,1550855636.58140
101.466,72.52,20.68,1550855639.04881
101.465,72.53,20.695,1550855641.51597
101.468,72.51,20.703,1550855643.98363
101.464,72.5,20.709,1550855646.45083
101.467,72.48,20.72,1550855648.91801
101.465,72.46,20.728,1550855651.38523
101.469,72.45,20.729,1550855653.84624
101.466,72.45,20.737,1550855656.31350
101.466,72.47,20.74,1550855658.77514
101.467,72.47,20.746,1550855661.24242
101.468,72.48,20.748,1550855663.71188
101.465,72.5,20.749,1550855666.17898
101.469,72.48,20.752,1550855668.64661
101.467,72.48,20.755,1550855671.10442
101.465,72.49,20.758,1550855673.57466
101.466,72.5,20.763,1550855676.04323
101.467,72.51,20.769,1550855678.50451
101.467,72.54,20.771,1550855680.97242
101.466,72.56,20.788,1550855683.44191
101.469,72.57,20.79,1550855685.91173
101.466,72.57,20.794,1550855688.38340
101.468,72.56,20.8,1550855690.84403
101.468,72.56,20.804,1550855693.30586
101.473,72.58,20.814,1550855695.77307
101.466,72.57,20.821,1550855698.24105
101.47,72.56,20.822,1550855700.70811
101.47,72.55,20.822,1550855703.17528
101.466,72.55,20.823,1550855705.64251
101.469,72.55,20.823,1550855708.10396
101.469,72.56,20.822,1550855710.57113
101.469,72.57,20.824,1550855713.03805
101.467,72.58,20.824,1550855715.50398
101.465,72.62,20.825,1550855717.97092
101.47,72.65,20.821,1550855720.43801
101.468,72.66,20.823,1550855722.90453
101.469,72.68,20.822,1550855725.37952
101.467,72.68,20.816,1550855727.84704
101.47,72.7,20.815,1550855730.30702
101.468,72.72,20.812,1550855732.77411
101.47,72.76,20.807,1550855735.24144
101.465,72.81,20.809,1550855737.70866
101.47,72.87,20.808,1550855740.17413
101.468,72.93,20.809,1550855742.64133
101.467,72.99,20.801,1550855745.10873
101.47,73.05,20.8,1550855747.57566
101.468,73.1,20.79,1550855750.03669
101.468,73.12,20.788,1550855752.50746
101.473,73.17,20.794,1550855754.97906
101.47,73.25,20.791,1550855757.44626
