AirSaturation,O2Concentration,SN,Temperature,ts
97.592,276.777,831,20.051,1550856597.3825173
97.564,276.686,831,20.053,1550856598.6785395
97.576,276.707,831,20.055,1550856599.974443
97.259,275.794,831,20.058,1550856601.2623663
97.197,275.605,831,20.06,1550856602.5745294
97.517,276.5,831,20.063,1550856603.9043608
97.183,275.54,831,20.065,1550856605.2224784
97.712,277.027,831,20.067,1550856606.5434823
97.508,276.437,831,20.069,1550856607.838078
97.554,276.555,831,20.071,1550856609.1295602
97.538,276.498,831,20.074,1550856610.418386
97.329,275.894,831,20.076,1550856611.7148674
97.343,275.921,831,20.078,1550856613.0032995
97.374,275.998,831,20.08,1550856614.3027894
97.423,276.122,831,20.083,1550856615.5949595
97.569,276.524,831,20.085,1550856616.8820293
97.607,276.618,831,20.087,1550856618.169016
97.428,276.098,831,20.09,1550856619.4599028
97.821,277.198,831,20.092,1550856620.7601628
97.374,275.918,831,20.094,1550856622.0543787
97.399,275.977,831,20.097,1550856623.3464572
97.503,276.259,831,20.099,1550856624.6341262
97.58,276.463,831,20.101,1550856625.9271183
97.388,275.908,831,20.104,1550856627.2191772
97.491,276.187,831,20.106,1550856628.508172
97.59,276.456,831,20.108,1550856629.7994988
97.74,276.869,831,20.11,1550856631.0930681
97.304,275.621,831,20.113,1550856632.3834496
97.469,276.077,831,20.115,1550856633.6863832
97.346,275.719,831,20.117,1550856634.9743633
97.419,275.915,831,20.119,1550856636.2681952
97.668,276.608,831,20.12,1550856637.560355
97.315,275.598,831,20.122,1550856638.8483536
97.371,275.746,831,20.124,1550856640.1363614
97.517,276.148,831,20.126,1550856641.4284844
97.501,276.091,831,20.128,1550856642.7229826
97.391,275.768,831,20.13,1550856644.0113826
97.494,276.051,831,20.133,1550856645.3140807
97.339,275.6,831,20.135,1550856646.6015778
97.449,275.897,831,20.137,1550856647.898287
97.276,275.396,831,20.139,1550856649.1897635
97.541,276.134,831,20.141,1550856650.479292
97.236,275.26,831,20.144,1550856651.7696636
97.426,275.785,831,20.146,1550856653.0703278
97.472,275.901,831,20.148,1550856654.3640935
97.454,275.84,831,20.15,1550856655.6566477
97.547,276.09,831,20.152,1550856656.94472
97.428,275.742,831,20.155,1550856658.2388105
97.676,276.43,831,20.157,1550856659.5517924
97.6,276.205,831,20.159,1550856660.8438194
97.282,275.291,831,20.161,1550856662.162834
97.492,275.874,831,20.164,1550856663.4839363
97.642,276.285,831,20.166,1550856664.8175058
97.68,276.382,831,20.168,1550856666.1412282
97.374,275.505,831,20.17,1550856667.4451547
97.423,275.63,831,20.172,1550856668.7362397
97.495,275.822,831,20.175,1550856670.0341935
97.43,275.625,831,20.177,1550856671.3215196
97.531,275.897,831,20.179,1550856672.6217728
97.572,276.002,831,20.182,1550856673.9143507
97.677,276.287,831,20.184,1550856675.2124436
97.426,275.563,831,20.186,1550856676.5042539
97.569,275.955,831,20.189,1550856677.7940297
97.335,275.282,831,20.191,1550856679.087639
97.262,275.063,831,20.193,1550856680.3860526
97.734,276.385,831,20.195,1550856681.683644
97.716,276.322,831,20.197,1550856682.971811
97.591,275.954,831,20.2,1550856684.2604203
97.655,276.124,831,20.202,1550856685.5536685
97.3,275.107,831,20.204,1550856686.8454943
97.463,275.557,831,20.207,1550856688.1341531
97.412,275.398,831,20.209,1550856689.4256058
97.466,275.538,831,20.211,1550856690.7177527
97.617,275.955,831,20.213,1550856692.0060997
97.378,275.268,831,20.215,1550856693.3027773
97.336,275.137,831,20.218,1550856694.5948102
97.488,275.557,831,20.22,1550856695.882073
97.549,275.717,831,20.222,1550856697.1740808
97.738,276.238,831,20.224,1550856698.4743507
97.343,275.112,831,20.226,1550856699.7704718
97.38,275.204,831,20.228,1550856701.0630348
97.474,275.459,831,20.23,1550856702.3508325
97.43,275.323,831,20.232,1550856703.642096
97.521,275.569,831,20.234,1550856704.9436553
97.488,275.463,831,20.237,1550856706.2432034
97.629,275.848,831,20.239,1550856707.5401201
97.324,274.977,831,20.241,1550856708.8321164
97.191,274.59,831,20.243,1550856710.1242049
97.739,276.126,831,20.245,1550856711.427056
97.421,275.214,831,20.247,1550856712.7192287
97.608,275.731,831,20.25,1550856714.010391
97.428,275.208,831,20.252,1550856715.3032606
97.6,275.679,831,20.255,1550856716.5954125
97.694,275.932,831,20.257,1550856717.883746
97.39,275.059,831,20.26,1550856719.1831524
97.357,274.952,831,20.262,1550856720.4764354
97.434,275.156,831,20.265,1550856721.7835133
97.573,275.532,831,20.268,1550856723.1234052
97.649,275.733,831,20.27,1550856724.4513342
97.302,274.739,831,20.273,1550856725.7751412
97.362,274.893,831,20.276,1550856727.079697
97.575,275.48,831,20.279,1550856728.3721926
97.515,275.294,831,20.281,1550856729.6629705
97.718,275.855,831,20.284,1550856730.958906
97.353,274.81,831,20.286,1550856732.2527056
97.507,275.232,831,20.289,1550856733.5397527
97.683,275.717,831,20.291,1550856734.8317122
97.554,275.341,831,20.293,1550856736.12598
97.378,274.831,831,20.295,1550856737.4214149
97.689,275.698,831,20.297,1550856738.7158816
97.509,275.179,831,20.3,1550856740.0041335
97.722,275.769,831,20.301,1550856741.2928865
97.354,274.72,831,20.303,1550856742.586142
97.475,275.051,831,20.305,1550856743.8814268
97.53,275.194,831,20.307,1550856745.1729422
97.293,274.515,831,20.309,1550856746.4670997
97.727,275.73,831,20.311,1550856747.7552109
97.593,275.341,831,20.313,1550856749.0424283
97.532,275.162,831,20.314,1550856750.3384306
97.277,274.433,831,20.316,1550856751.6448178
97.377,274.708,831,20.318,1550856752.937265
97.39,274.735,831,20.319,1550856754.2281957
97.633,275.411,831,20.321,1550856755.5193176
97.246,274.31,831,20.323,1550856756.8150926
97.234,274.267,831,20.324,1550856758.1049976
97.442,274.844,831,20.326,1550856759.3964674
97.488,274.967,831,20.327,1550856760.688687
97.83,275.921,831,20.329,1550856761.9774961
97.776,275.762,831,20.331,1550856763.2766793
97.343,274.531,831,20.332,1550856764.5695317
97.398,274.677,831,20.334,1550856765.868316
97.304,274.402,831,20.336,1550856767.1638937
97.353,274.533,831,20.337,1550856768.456723
97.519,274.991,831,20.339,1550856769.7485597
97.449,274.786,831,20.34,1550856771.036636
97.44,274.752,831,20.342,1550856772.3290324
97.669,275.389,831,20.344,1550856773.624686
97.311,274.371,831,20.345,1550856774.9163365
97.561,275.067,831,20.347,1550856776.2091448
97.625,275.238,831,20.348,1550856777.5008438
97.619,275.213,831,20.35,1550856778.791701
97.518,274.92,831,20.351,1550856780.0900886
97.487,274.825,831,20.353,1550856781.3853657
97.492,274.829,831,20.355,1550856782.7505083
97.964,276.151,831,20.356,1550856784.0691402
97.399,274.551,831,20.358,1550856785.4080784
97.364,274.441,831,20.36,1550856786.7210495
97.595,275.085,831,20.361,1550856788.010152
97.611,275.12,831,20.363,1550856789.3023372
97.58,275.024,831,20.364,1550856790.5944474
97.475,274.721,831,20.366,1550856791.891813
97.443,274.623,831,20.367,1550856793.185133
97.529,274.859,831,20.369,1550856794.4732747
97.535,274.866,831,20.37,1550856795.760355
97.575,274.972,831,20.372,1550856797.052246
97.584,274.99,831,20.373,1550856798.3463583
97.48,274.687,831,20.375,1550856799.6336226
97.552,274.883,831,20.376,1550856800.9243526
97.421,274.504,831,20.378,1550856802.2164624
97.602,275.006,831,20.379,1550856803.5040872
97.406,274.446,831,20.381,1550856804.7960052
97.31,274.165,831,20.382,1550856806.0885334
97.802,275.544,831,20.384,1550856807.3764675
97.394,274.387,831,20.386,1550856808.663929
97.634,275.055,831,20.387,1550856809.9562843
97.461,274.559,831,20.388,1550856811.2496512
97.282,274.048,831,20.39,1550856812.5377028
97.434,274.468,831,20.391,1550856813.837673
97.634,275.026,831,20.392,1550856815.12598
97.474,274.569,831,20.393,1550856816.412736
97.628,274.995,831,20.395,1550856817.694874
97.48,274.571,831,20.396,1550856818.9872198
97.46,274.508,831,20.398,1550856820.2826211
97.65,275.033,831,20.399,1550856821.5719337
97.662,275.059,831,20.4,1550856822.8639488
97.39,274.286,831,20.402,1550856824.15602
97.418,274.357,831,20.403,1550856825.4486582
97.674,275.072,831,20.404,1550856826.741337
97.346,274.139,831,20.406,1550856828.0310805
97.691,275.104,831,20.407,1550856829.3210533
97.7,275.122,831,20.409,1550856830.6141214
97.444,274.391,831,20.41,1550856831.906337
97.739,275.214,831,20.412,1550856833.1931534
97.461,274.423,831,20.413,1550856834.4874682
97.613,274.845,831,20.414,1550856835.7806807
97.733,275.175,831,20.416,1550856837.0773034
97.538,274.617,831,20.417,1550856838.3692408
97.67,274.982,831,20.419,1550856839.6573217
97.322,273.993,831,20.42,1550856840.9444394
97.555,274.641,831,20.422,1550856842.3106077
97.613,274.797,831,20.423,1550856843.6436007
97.516,274.515,831,20.425,1550856844.9585612
97.219,273.671,831,20.426,1550856846.2626605
97.371,274.091,831,20.428,1550856847.564532
97.389,274.135,831,20.429,1550856848.8571653
97.293,273.854,831,20.431,1550856850.1571946
97.297,273.856,831,20.433,1550856851.4446685
97.562,274.595,831,20.434,1550856852.7391663
97.581,274.638,831,20.436,1550856854.0315688
97.743,275.086,831,20.437,1550856855.3251169
97.468,274.304,831,20.439,1550856856.6220107
97.579,274.606,831,20.441,1550856857.909787
97.377,274.03,831,20.442,1550856859.1968288
97.551,274.511,831,20.444,1550856860.492726
97.576,274.572,831,20.446,1550856861.794396
97.171,273.424,831,20.447,1550856863.0969136
97.585,274.582,831,20.449,1550856864.3849943
97.416,274.096,831,20.45,1550856865.6760304
97.58,274.55,831,20.452,1550856866.9692507
97.389,274.004,831,20.453,1550856868.2704074
97.725,274.942,831,20.455,1550856869.5646932
97.52,274.357,831,20.456,1550856870.8591468
97.478,274.23,831,20.458,1550856872.1513448
97.904,275.42,831,20.459,1550856873.4383683
97.267,273.62,831,20.461,1550856874.7356184
97.539,274.377,831,20.462,1550856876.0449815
97.676,274.754,831,20.463,1550856877.3437033
97.574,274.461,831,20.465,1550856878.6313286
97.54,274.358,831,20.466,1550856879.923328
97.561,274.411,831,20.468,1550856881.2300103
97.626,274.585,831,20.469,1550856882.5215209
97.391,273.917,831,20.47,1550856883.8156369
97.763,274.956,831,20.472,1550856885.103258
97.625,274.561,831,20.473,1550856886.3965535
97.615,274.524,831,20.474,1550856887.6895695
97.344,273.755,831,20.476,1550856888.991238
97.345,273.751,831,20.477,1550856890.2828436
97.856,275.179,831,20.479,1550856891.5766008
97.537,274.275,831,20.48,1550856892.8657765
97.706,274.743,831,20.481,1550856894.158382
97.208,273.336,831,20.483,1550856895.455128
97.349,273.725,831,20.484,1550856896.7468462
97.658,274.584,831,20.485,1550856898.0340774
97.748,274.832,831,20.487,1550856899.3223097
97.448,273.982,831,20.488,1550856900.6134098
97.656,274.557,831,20.49,1550856902.0308096
97.54,274.225,831,20.491,1550856903.3536081
97.529,274.185,831,20.492,1550856904.6667356
97.83,275.023,831,20.494,1550856905.979081
97.581,274.314,831,20.496,1550856907.2839305
97.632,274.446,831,20.497,1550856908.5805311
97.506,274.083,831,20.499,1550856909.8730152
97.682,274.569,831,20.501,1550856911.1610775
97.478,273.984,831,20.503,1550856912.4521854
98.003,275.448,831,20.505,1550856913.7442899
97.893,275.129,831,20.507,1550856915.0352492
96.997,272.598,831,20.509,1550856916.3281438
97.194,273.16,831,20.508,1550856917.6203568
97.403,273.799,831,20.498,1550856918.9084027
97.656,274.574,831,20.487,1550856920.1965506
97.979,275.542,831,20.476,1550856921.4874663
113.976,320.011,831,20.557,1550856922.7827845
114.381,319.87,831,20.76,1550856924.0707436
116.714,325.46,831,20.906,1550856925.3872547
114.887,319.548,831,21.036,1550856926.6929545
116.615,323.572,831,21.159,1550856928.002838
116.514,322.48,831,21.288,1550856929.297011
116.705,322.236,831,21.41,1550856930.5991518
117.461,323.597,831,21.526,1550856931.8970737
119.079,327.262,831,21.65,1550856933.187928
118.413,324.614,831,21.78,1550856934.4799516
118.533,324.191,831,21.899,1550856935.775012
119.101,325.071,831,22.006,1550856937.0749564
118.202,321.969,831,22.11,1550856938.3689575
119.237,324.197,831,22.205,1550856939.6664648
120.008,325.702,831,22.299,1550856940.9601812
119.607,324.067,831,22.387,1550856942.251169
121.066,327.498,831,22.47,1550856943.541136
120.583,325.635,831,22.559,1550856944.8383589
120.456,324.799,831,22.638,1550856946.1320572
119.634,322.143,831,22.71,1550856947.4283657
120.489,324.006,831,22.781,1550856948.7186456
120.977,324.876,831,22.852,1550856950.0084555
120.155,322.303,831,22.912,1550856951.3052392
120.923,324.01,831,22.969,1550856952.6037347
120.173,321.687,831,23.02,1550856953.9004774
119.648,320.004,831,23.066,1550856955.1934638
119.949,320.55,831,23.108,1550856956.49159
121.613,324.747,831,23.148,1550856957.7816029
120.343,321.11,831,23.189,1550856959.0721352
120.205,320.516,831,23.226,1550856960.365718
120.936,322.257,831,23.26,1550856961.694607
121.195,322.756,831,23.291,1550856963.034659
120.93,321.873,831,23.32,1550856964.358548
122.018,324.594,831,23.349,1550856965.6756
119.717,318.304,831,23.377,1550856966.9949143
120.976,321.506,831,23.4,1550856968.2850254
119.88,318.466,831,23.422,1550856969.579901
120.608,320.283,831,23.441,1550856970.8956485
120.524,319.949,831,23.46,1550856972.199849
120.858,320.731,831,23.477,1550856973.5011957
120.064,318.526,831,23.493,1550856974.791123
120.736,320.211,831,23.509,1550856976.0850565
120.243,318.815,831,23.524,1550856977.3756242
119.516,316.807,831,23.537,1550856978.6805375
120.306,318.825,831,23.55,1550856979.9731462
121.27,321.305,831,23.562,1550856981.2691927
121.638,322.209,831,23.574,1550856982.5611265
120.45,318.997,831,23.585,1550856983.852043
119.582,316.632,831,23.596,1550856985.149451
120.854,319.939,831,23.606,1550856986.4403458
120.708,319.489,831,23.617,1550856987.7383714
121.504,321.536,831,23.626,1550856989.033318
120.527,318.885,831,23.637,1550856990.327556
121.432,321.215,831,23.648,1550856991.6225977
120.583,318.915,831,23.657,1550856992.9245093
121.497,321.281,831,23.665,1550856994.2185364
120.496,318.584,831,23.674,1550856995.5085654
121.066,320.044,831,23.682,1550856996.8103504
120.181,317.657,831,23.689,1550856998.1019833
121.43,320.917,831,23.696,1550856999.3965547
121.035,319.834,831,23.703,1550857000.688015
120.753,319.053,831,23.709,1550857001.978073
120.683,318.832,831,23.715,1550857003.2745502
121.22,320.214,831,23.721,1550857004.5674946
120.581,318.492,831,23.726,1550857005.8607728
120.403,317.988,831,23.732,1550857007.1559112
121.118,319.847,831,23.737,1550857008.4461858
121.716,321.394,831,23.742,1550857009.746059
120.913,319.245,831,23.747,1550857011.0458136
121.018,319.493,831,23.752,1550857012.340017
120.596,318.353,831,23.756,1550857013.6301036
121.578,320.921,831,23.761,1550857014.9237282
121.635,321.045,831,23.765,1550857016.2201002
122.979,324.569,831,23.768,1550857017.5235794
121.576,320.854,831,23.77,1550857018.8130898
123.121,324.918,831,23.773,1550857020.1031263
121.464,320.529,831,23.776,1550857021.4024591
122.869,324.217,831,23.779,1550857022.7666094
121.295,320.052,831,23.781,1550857024.1184711
123.385,325.551,831,23.783,1550857025.4336715
122.081,322.097,831,23.785,1550857026.751922
122.908,324.273,831,23.786,1550857028.0519626
122.099,322.129,831,23.788,1550857029.363729
121.383,320.231,831,23.79,1550857030.6619704
120.991,319.188,831,23.791,1550857031.9676495
121.954,321.716,831,23.793,1550857033.2575529
122.079,322.036,831,23.794,1550857034.563677
122.106,322.104,831,23.795,1550857035.8715718
121.855,321.433,831,23.797,1550857037.1655593
121.114,319.468,831,23.798,1550857038.458982
121.258,319.841,831,23.8,1550857039.7504497
121.51,320.496,831,23.801,1550857041.058389
121.697,320.976,831,23.803,1550857042.366046
122.09,322.002,831,23.805,1550857043.65947
121.207,319.661,831,23.807,1550857044.9557598
122.485,323.019,831,23.809,1550857046.248764
121.797,321.194,831,23.811,1550857047.5402098
122.195,322.237,831,23.812,1550857048.8431003
121.818,321.232,831,23.814,1550857050.1328578
121.982,321.648,831,23.816,1550857051.4300675
121.608,320.648,831,23.819,1550857052.7202542
121.609,320.635,831,23.821,1550857054.0210063
121.944,321.505,831,23.824,1550857055.3127358
123.027,324.346,831,23.826,1550857056.607116
123.09,324.496,831,23.829,1550857057.902351
122.705,323.465,831,23.831,1550857059.194385
122.206,322.134,831,23.834,1550857060.4891193
121.413,320.028,831,23.836,1550857061.7830122
122.364,322.523,831,23.838,1550857063.079384
121.435,320.06,831,23.841,1550857064.3732195
122.982,324.125,831,23.843,1550857065.6633253
122.119,321.84,831,23.844,1550857066.9583862
122.382,322.527,831,23.846,1550857068.2745905
122.355,322.446,831,23.847,1550857069.5786233
122.04,321.607,831,23.849,1550857070.8734467
122.559,322.963,831,23.851,1550857072.16637
122.215,322.044,831,23.852,1550857073.482517
122.672,323.237,831,23.854,1550857074.7786145
121.654,320.548,831,23.856,1550857076.0804715
122.039,321.553,831,23.857,1550857077.3735714
123.092,324.321,831,23.858,1550857078.6676002
122.402,322.496,831,23.859,1550857079.9617853
123.166,324.5,831,23.861,1550857081.256997
122.684,323.219,831,23.863,1550857082.5745292
122.103,321.676,831,23.865,1550857083.9028609
