AirSaturation,O2Concentration,SN,Temperature,ts
29.803,81.301,831,22.033,1550978470.1586466
29.841,81.405,831,22.034,1550978471.4483492
29.692,80.996,831,22.035,1550978472.739333
29.676,80.951,831,22.035,1550978474.0333586
29.465,80.374,831,22.036,1550978475.3194048
29.58,80.688,831,22.036,1550978476.6186936
29.509,80.495,831,22.036,1550978477.9156253
29.402,80.202,831,22.037,1550978479.201889
29.555,80.62,831,22.037,1550978480.491616
29.562,80.639,831,22.036,1550978481.7826502
29.531,80.554,831,22.036,1550978483.072223
29.546,80.596,831,22.036,1550978484.3715336
29.608,80.766,831,22.035,1550978485.6628118
29.7,81.017,831,22.035,1550978486.9488034
30.261,82.546,831,22.035,1550978488.2405405
31.838,86.848,831,22.036,1550978489.5392983
33.196,90.549,831,22.037,1550978490.8269217
34.258,93.446,831,22.038,1550978492.1189358
34.87,95.114,831,22.039,1550978493.409882
35.419,96.61,831,22.04,1550978494.6999595
35.794,97.63,831,22.04,1550978496.001407
36.264,98.912,831,22.041,1550978497.2890956
36.486,99.514,831,22.042,1550978498.5902174
36.659,99.984,831,22.043,1550978499.8822713
36.871,100.56,831,22.045,1550978501.1836393
37.049,101.044,831,22.046,1550978502.4843345
37.365,101.903,831,22.047,1550978503.779401
37.517,102.315,831,22.048,1550978505.0695624
37.667,102.722,831,22.049,1550978506.3575387
37.848,103.214,831,22.051,1550978507.6495764
37.872,103.275,831,22.052,1550978508.9434507
38.022,103.683,831,22.054,1550978510.2337954
37.986,103.579,831,22.055,1550978511.5268223
38.065,103.793,831,22.056,1550978512.8205376
38.208,104.179,831,22.058,1550978514.1101167
38.294,104.412,831,22.059,1550978515.4096448
38.074,103.811,831,22.06,1550978516.7037435
38.0,103.605,831,22.061,1550978517.9977448
37.838,103.163,831,22.061,1550978519.2908115
37.78,103.008,831,22.061,1550978520.5839229
37.128,101.232,831,22.06,1550978521.8864083
36.704,100.075,831,22.06,1550978523.1996946
36.49,99.494,831,22.059,1550978524.5206118
36.148,98.561,831,22.059,1550978525.881907
35.771,97.533,831,22.059,1550978527.1958442
35.509,96.818,831,22.06,1550978528.4818234
35.533,96.882,831,22.06,1550978529.7747815
35.32,96.302,831,22.06,1550978531.0648174
34.891,95.131,831,22.06,1550978532.3578026
34.956,95.309,831,22.06,1550978533.6639168
34.398,93.791,831,22.059,1550978534.9499788
34.336,93.623,831,22.058,1550978536.2402966
34.138,93.082,831,22.057,1550978537.5311048
34.012,92.739,831,22.057,1550978538.8384154
33.822,92.222,831,22.057,1550978540.1300392
33.375,91.006,831,22.056,1550978541.4271252
33.298,90.797,831,22.055,1550978542.7182078
32.784,89.4,831,22.053,1550978544.0087814
32.362,88.25,831,22.052,1550978545.2961817
32.181,87.761,831,22.05,1550978546.589102
31.905,87.008,831,22.049,1550978547.8804083
31.752,86.592,831,22.048,1550978549.167439
31.744,86.57,831,22.048,1550978550.460189
31.473,85.834,831,22.048,1550978551.7519593
31.339,85.468,831,22.048,1550978553.039292
31.232,85.175,831,22.048,1550978554.3274984
31.064,84.719,831,22.048,1550978555.6199691
31.081,84.767,831,22.046,1550978556.9121983
30.732,83.818,831,22.045,1550978558.206666
30.793,83.984,831,22.043,1550978559.5062003
30.798,84.001,831,22.042,1550978560.7948143
30.811,84.038,831,22.042,1550978562.0845838
30.711,83.766,831,22.041,1550978563.3885298
30.581,83.411,831,22.04,1550978564.6756225
30.418,82.968,831,22.04,1550978565.9685347
30.335,82.742,831,22.04,1550978567.2568285
30.186,82.335,831,22.039,1550978568.5429208
30.121,82.161,831,22.039,1550978569.8368018
30.017,81.878,831,22.038,1550978571.1277964
29.856,81.44,831,22.037,1550978572.4140096
29.877,81.496,831,22.037,1550978573.700809
29.731,81.099,831,22.037,1550978575.0020256
29.786,81.247,831,22.038,1550978576.290116
29.489,80.436,831,22.039,1550978577.5759833
29.45,80.329,831,22.039,1550978578.8750465
29.245,79.769,831,22.04,1550978580.1620536
29.1,79.372,831,22.04,1550978581.4847226
29.087,79.338,831,22.039,1550978582.823362
28.952,78.971,831,22.039,1550978584.1319902
28.899,78.824,831,22.04,1550978585.4619257
28.837,78.656,831,22.04,1550978586.7649586
28.595,77.995,831,22.039,1550978588.059105
28.569,77.928,831,22.038,1550978589.3502643
28.461,77.633,831,22.037,1550978590.6369457
28.408,77.491,831,22.035,1550978591.9406826
28.349,77.334,831,22.034,1550978593.2273755
28.25,77.067,831,22.032,1550978594.5145042
28.188,76.9,831,22.03,1550978595.8054767
28.14,76.773,831,22.028,1550978597.0975077
28.119,76.717,831,22.027,1550978598.384374
28.065,76.573,831,22.025,1550978599.6789868
27.952,76.266,831,22.024,1550978600.9707928
28.013,76.433,831,22.023,1550978602.2605417
27.995,76.385,831,22.023,1550978603.5605876
28.136,76.769,831,22.023,1550978604.8508923
28.123,76.735,831,22.022,1550978606.144601
28.153,76.817,831,22.022,1550978607.43568
28.283,77.174,831,22.021,1550978608.7298687
28.46,77.657,831,22.021,1550978610.040514
28.662,78.206,831,22.021,1550978611.3307798
28.758,78.469,831,22.021,1550978612.6239855
29.052,79.27,831,22.022,1550978613.9137547
29.114,79.438,831,22.023,1550978615.2001338
29.194,79.655,831,22.024,1550978616.5087729
29.298,79.934,831,22.025,1550978617.8131287
29.612,80.79,831,22.027,1550978619.1060152
29.606,80.771,831,22.028,1550978620.4030018
29.901,81.574,831,22.03,1550978621.694123
29.918,81.618,831,22.032,1550978622.9885855
29.877,81.502,831,22.033,1550978624.2830608
30.036,81.935,831,22.034,1550978625.5784163
30.053,81.978,831,22.036,1550978626.8704724
30.124,82.168,831,22.038,1550978628.161949
30.251,82.512,831,22.04,1550978629.456632
30.337,82.745,831,22.041,1550978630.7481716
30.503,83.198,831,22.041,1550978632.0422451
30.657,83.617,831,22.042,1550978633.331412
30.794,83.989,831,22.043,1550978634.6223855
31.132,84.91,831,22.044,1550978635.9217
31.269,85.284,831,22.044,1550978637.2176867
31.453,85.783,831,22.045,1550978638.5087123
31.692,86.435,831,22.046,1550978639.7994566
31.597,86.175,831,22.046,1550978641.0904472
31.711,86.484,831,22.046,1550978642.4499125
31.762,86.624,831,22.046,1550978643.83194
31.683,86.406,831,22.047,1550978645.138987
32.133,87.632,831,22.048,1550978646.443809
32.584,88.859,831,22.049,1550978647.7307754
33.484,91.313,831,22.051,1550978649.0296397
34.326,93.605,831,22.052,1550978650.3197272
34.759,94.787,831,22.053,1550978651.6057549
34.696,94.612,831,22.053,1550978652.8963134
34.68,94.568,831,22.054,1550978654.2125819
34.742,94.735,831,22.055,1550978655.5048616
34.676,94.555,831,22.055,1550978656.794956
34.588,94.312,831,22.056,1550978658.08612
34.84,95.0,831,22.057,1550978659.3811116
34.89,95.132,831,22.057,1550978660.669441
34.842,95.001,831,22.058,1550978661.9610677
34.733,94.702,831,22.059,1550978663.2551427
34.861,95.053,831,22.059,1550978664.5410354
34.717,94.662,831,22.057,1550978665.8311262
34.423,93.863,831,22.056,1550978667.1317246
34.009,92.736,831,22.054,1550978668.4376595
33.98,92.658,831,22.054,1550978669.7378647
33.693,91.877,831,22.053,1550978671.0305364
33.523,91.415,831,22.052,1550978672.3183014
33.204,90.55,831,22.051,1550978673.6268773
33.509,91.382,831,22.049,1550978674.9192142
34.081,92.944,831,22.049,1550978676.2103975
36.257,98.88,831,22.048,1550978677.5024197
37.924,103.425,831,22.048,1550978678.7906868
40.423,110.238,831,22.049,1550978680.0849297
43.738,119.276,831,22.051,1550978681.3819633
48.927,133.418,831,22.053,1550978682.6759033
54.757,149.291,831,22.062,1550978683.9687784
67.617,184.236,831,22.095,1550978685.261682
77.049,209.698,831,22.154,1550978686.5655787
86.948,236.386,831,22.209,1550978687.8539739
96.702,262.628,831,22.264,1550978689.1470265
104.665,283.927,831,22.324,1550978690.4413335
109.234,295.971,831,22.385,1550978691.7313223
110.561,299.221,831,22.446,1550978693.0489113
114.995,310.837,831,22.51,1550978694.3433902
116.501,314.5,831,22.578,1550978695.6345372
119.805,322.979,831,22.649,1550978696.929716
121.72,327.49,831,22.753,1550978698.226119
123.006,330.435,831,22.834,1550978699.5374088
125.101,335.571,831,22.911,1550978700.8485987
125.644,336.533,831,22.988,1550978702.1563113
127.126,339.946,831,23.075,1550978703.4827502
126.486,337.661,831,23.164,1550978704.817773
127.491,339.797,831,23.249,1550978706.146382
127.442,339.179,831,23.324,1550978707.4457703
129.596,344.438,831,23.397,1550978708.7396598
128.151,340.201,831,23.459,1550978710.0391893
129.307,342.85,831,23.523,1550978711.3515363
128.856,341.218,831,23.591,1550978712.655938
127.617,337.535,831,23.654,1550978713.9448874
128.759,340.179,831,23.713,1550978715.2409153
128.565,339.315,831,23.768,1550978716.539869
129.657,341.86,831,23.82,1550978717.8446972
128.219,337.742,831,23.872,1550978719.1350648
128.216,337.418,831,23.922,1550978720.431115
129.48,340.453,831,23.967,1550978721.7253938
128.788,338.369,831,24.009,1550978723.0294576
128.498,337.363,831,24.048,1550978724.3215907
128.655,337.547,831,24.084,1550978725.6161633
127.948,335.48,831,24.118,1550978726.9119978
129.971,340.571,831,24.151,1550978728.202227
128.987,337.793,831,24.182,1550978729.499013
130.643,341.949,831,24.211,1550978730.7894318
128.712,336.725,831,24.238,1550978732.0872986
128.231,335.293,831,24.266,1550978733.3795466
128.009,334.542,831,24.293,1550978734.669613
129.27,337.676,831,24.319,1550978735.968762
129.884,339.124,831,24.343,1550978737.2644393
130.316,340.109,831,24.366,1550978738.5585496
128.298,334.714,831,24.386,1550978739.8484714
129.322,337.262,831,24.406,1550978741.1445813
129.347,337.209,831,24.425,1550978742.4387307
129.25,336.843,831,24.443,1550978743.7306216
128.788,335.529,831,24.46,1550978745.02679
129.869,338.247,831,24.476,1550978746.3179548
129.169,336.331,831,24.491,1550978747.6137083
130.031,338.492,831,24.504,1550978748.9086816
129.829,337.89,831,24.516,1550978750.2006342
128.777,335.081,831,24.528,1550978751.4958384
129.465,336.802,831,24.538,1550978752.7957463
129.362,336.47,831,24.549,1550978754.0898774
129.332,336.328,831,24.559,1550978755.3875773
128.237,333.421,831,24.568,1550978756.69296
128.9,335.084,831,24.578,1550978757.9889286
129.487,336.55,831,24.588,1550978759.2866588
129.961,337.727,831,24.597,1550978760.579564
129.069,335.355,831,24.605,1550978762.0309353
129.019,335.168,831,24.614,1550978763.354036
129.546,336.484,831,24.623,1550978764.6738784
129.651,336.704,831,24.632,1550978766.0018842
128.944,334.813,831,24.64,1550978767.3164878
128.731,334.21,831,24.648,1550978768.6063836
130.818,339.58,831,24.656,1550978769.9038534
128.513,333.553,831,24.663,1550978771.2004154
130.696,339.179,831,24.67,1550978772.4953828
129.824,336.87,831,24.676,1550978773.7864993
129.895,337.013,831,24.683,1550978775.0766332
129.579,336.156,831,24.689,1550978776.3862658
130.073,337.4,831,24.695,1550978777.6856506
129.222,335.154,831,24.701,1550978778.9766028
129.736,336.451,831,24.707,1550978780.2709284
129.094,334.751,831,24.713,1550978781.5656168
129.096,334.725,831,24.718,1550978782.8677573
129.83,336.599,831,24.723,1550978784.1656013
130.353,337.926,831,24.727,1550978785.462031
129.663,336.109,831,24.732,1550978786.7570226
130.486,338.214,831,24.736,1550978788.0507784
130.565,338.394,831,24.74,1550978789.3458045
128.841,333.902,831,24.744,1550978790.652265
128.812,333.801,831,24.748,1550978791.965927
128.641,333.336,831,24.752,1550978793.2628608
129.032,334.325,831,24.756,1550978794.5628452
129.064,334.388,831,24.759,1550978795.8528671
129.882,336.488,831,24.762,1550978797.1471725
129.154,334.586,831,24.765,1550978798.4429555
129.335,335.038,831,24.767,1550978799.7380564
129.731,336.048,831,24.77,1550978801.0330455
129.156,334.542,831,24.773,1550978802.3232617
130.122,337.026,831,24.775,1550978803.624066
129.928,336.507,831,24.778,1550978804.9148786
129.362,335.027,831,24.78,1550978806.2091007
130.171,337.111,831,24.782,1550978807.5035987
130.161,337.074,831,24.784,1550978808.8001082
129.082,334.271,831,24.785,1550978810.0975223
130.185,337.117,831,24.787,1550978811.3874233
130.747,338.563,831,24.789,1550978812.6823168
130.489,337.885,831,24.79,1550978813.9736621
129.866,336.264,831,24.791,1550978815.2678943
130.141,336.968,831,24.793,1550978816.5594893
130.659,338.299,831,24.794,1550978817.8553977
129.254,334.649,831,24.796,1550978819.1536343
130.068,336.747,831,24.798,1550978820.4500887
130.777,338.575,831,24.799,1550978821.8499153
130.42,337.644,831,24.8,1550978823.2198381
130.754,338.497,831,24.802,1550978824.549824
131.207,339.66,831,24.803,1550978825.8605378
131.158,339.531,831,24.804,1550978827.1637475
130.959,339.01,831,24.805,1550978828.4594646
129.854,336.142,831,24.806,1550978829.755328
130.728,338.397,831,24.807,1550978831.047994
130.267,337.196,831,24.808,1550978832.3433409
129.034,334.001,831,24.809,1550978833.6329153
129.895,336.222,831,24.81,1550978834.9298966
130.338,337.362,831,24.811,1550978836.2249177
130.201,337.002,831,24.812,1550978837.5189474
131.33,339.917,831,24.813,1550978838.8160307
132.362,342.583,831,24.814,1550978840.1096787
130.975,338.989,831,24.815,1550978841.4089856
130.628,338.085,831,24.815,1550978842.6999824
129.961,336.351,831,24.817,1550978843.9941983
131.837,341.196,831,24.818,1550978845.2856793
130.562,337.887,831,24.82,1550978846.580909
130.395,337.449,831,24.821,1550978847.881399
129.932,336.246,831,24.821,1550978849.1751907
130.862,338.653,831,24.821,1550978850.4693513
131.383,339.999,831,24.822,1550978851.7735724
130.071,336.601,831,24.822,1550978853.0682602
131.319,339.824,831,24.823,1550978854.3643088
131.123,339.311,831,24.824,1550978855.6595654
131.311,339.794,831,24.825,1550978856.9495578
130.754,338.348,831,24.826,1550978858.244414
131.27,339.676,831,24.827,1550978859.53471
131.368,339.921,831,24.828,1550978860.8256118
131.251,339.608,831,24.83,1550978862.1195903
130.385,337.356,831,24.831,1550978863.4153955
130.765,338.332,831,24.833,1550978864.7107291
131.355,339.854,831,24.834,1550978866.0036469
130.884,338.629,831,24.834,1550978867.3086805
131.353,339.839,831,24.835,1550978868.5977492
131.351,339.83,831,24.836,1550978869.8926842
130.755,338.284,831,24.836,1550978871.1870887
132.329,342.355,831,24.836,1550978872.475733
131.765,340.895,831,24.836,1550978873.7708213
131.89,341.217,831,24.837,1550978875.0678651
131.169,339.354,831,24.837,1550978876.364622
132.22,342.076,831,24.836,1550978877.657943
132.039,341.613,831,24.835,1550978878.9503884
131.221,339.503,831,24.834,1550978880.248207
130.969,338.853,831,24.834,1550978881.5399616
131.17,339.376,831,24.833,1550978882.8900816
131.397,339.965,831,24.833,1550978884.2139056
130.808,338.437,831,24.833,1550978885.5477946
132.049,341.644,831,24.834,1550978886.8508823
132.015,341.55,831,24.835,1550978888.147738
131.245,339.554,831,24.836,1550978889.4420547
130.691,338.121,831,24.836,1550978890.732587
130.454,337.509,831,24.836,1550978892.0255442
131.577,340.411,831,24.836,1550978893.3144863
130.908,338.676,831,24.837,1550978894.6033278
132.11,341.78,831,24.838,1550978895.9243639
132.133,341.834,831,24.839,1550978897.218513
132.003,341.491,831,24.839,1550978898.5126219
131.918,341.267,831,24.84,1550978899.8066251
132.041,341.581,831,24.841,1550978901.097668
131.282,339.61,831,24.842,1550978902.4075859
131.385,339.867,831,24.843,1550978903.7010686
132.19,341.942,831,24.845,1550978904.9990923
131.408,339.907,831,24.847,1550978906.2876382
131.364,339.785,831,24.848,1550978907.5827181
131.553,340.268,831,24.849,1550978908.8839786
131.846,341.025,831,24.849,1550978910.1813812
131.364,339.778,831,24.849,1550978911.4747965
131.37,339.794,831,24.849,1550978912.7680922
131.891,341.139,831,24.85,1550978914.0618048
131.249,339.473,831,24.85,1550978915.3510833
131.951,341.285,831,24.851,1550978916.6494467
133.263,344.675,831,24.852,1550978917.9408448
131.794,340.868,831,24.852,1550978919.2305555
132.17,341.836,831,24.854,1550978920.5270817
132.99,343.951,831,24.854,1550978921.8226898
130.347,337.11,831,24.855,1550978923.1161606
