alt,lat,long,ts,ts_gps
19.286,21.886070798,-159.527571811,1478195758.5305338,2019-02-23T17:13:09.000Z
18.961,21.886071975,-159.527580876,1478195759.533884,2019-02-23T17:13:10.000Z
18.961,21.886071975,-159.527580876,1478195760.8855515,2019-02-23T17:13:10.000Z
18.961,21.886071975,-159.527580876,1478195760.9981008,2019-02-23T17:13:11.000Z
19.506,21.886069999,-159.527593326,1478195761.5313907,2019-02-23T17:13:12.000Z
19.133,21.886061619,-159.527593326,1478195762.5356622,2019-02-23T17:13:13.000Z
19.133,21.886061619,-159.527593326,1478195763.8723724,2019-02-23T17:13:13.000Z
19.133,21.886061619,-159.527593326,1478195763.9848826,2019-02-23T17:13:14.000Z
19.133,21.886061619,-159.527593326,1478195764.5482345,2019-02-23T17:13:15.000Z
18.808,21.886062796,-159.527602391,1478195765.5492454,2019-02-23T17:13:16.000Z
18.808,21.886062796,-159.527602391,1478195766.8844695,2019-02-23T17:13:16.000Z
18.808,21.886062796,-159.527602391,1478195766.9968722,2019-02-23T17:13:17.000Z
19.678,21.886059642,-159.527605775,1478195767.6236215,2019-02-23T17:13:18.000Z
19.678,21.886059642,-159.527605775,1478195768.532006,2019-02-23T17:13:19.000Z
19.678,21.886059642,-159.527605775,1478195769.867376,2019-02-23T17:13:19.000Z
19.678,21.886059642,-159.527605775,1478195769.979791,2019-02-23T17:13:20.000Z
19.678,21.886059642,-159.527605775,1478195770.5355735,2019-02-23T17:13:21.000Z
19.353,21.88606082,-159.52761484,1478195771.5315647,2019-02-23T17:13:22.000Z
19.353,21.88606082,-159.52761484,1478195772.867639,2019-02-23T17:13:22.000Z
19.353,21.88606082,-159.52761484,1478195772.9800951,2019-02-23T17:13:23.000Z
19.353,21.88606082,-159.52761484,1478195773.532162,2019-02-23T17:13:24.000Z
19.85,21.886049286,-159.527618225,1478195774.5493314,2019-02-23T17:13:25.000Z
19.85,21.886049286,-159.527618225,1478195775.8698087,2019-02-23T17:13:25.000Z
19.85,21.886049286,-159.527618225,1478195775.9826472,2019-02-23T17:13:26.000Z
19.85,21.886049286,-159.527618225,1478195776.532077,2019-02-23T17:13:27.000Z
19.85,21.886049286,-159.527618225,1478195777.5333817,2019-02-23T17:13:28.000Z
19.85,21.886049286,-159.527618225,1478195778.8701587,2019-02-23T17:13:28.000Z
19.85,21.886049286,-159.527618225,1478195778.9825456,2019-02-23T17:13:29.000Z
20.174,21.886048108,-159.52760916,1478195779.531361,2019-02-23T17:13:30.000Z
20.174,21.886048108,-159.52760916,1478195780.5304995,2019-02-23T17:13:31.000Z
20.174,21.886048108,-159.52760916,1478195781.8685281,2019-02-23T17:13:31.000Z
20.174,21.886048108,-159.52760916,1478195781.981381,2019-02-23T17:13:32.000Z
20.174,21.886048108,-159.52760916,1478195782.6063254,2019-02-23T17:13:33.000Z
20.174,21.886048108,-159.52760916,1478195783.5308614,2019-02-23T17:13:34.000Z
20.174,21.886048108,-159.52760916,1478195784.8851233,2019-02-23T17:13:34.000Z
20.174,21.886048108,-159.52760916,1478195784.9975111,2019-02-23T17:13:35.000Z
20.174,21.886048108,-159.52760916,1478195785.5308359,2019-02-23T17:13:36.000Z
20.174,21.886048108,-159.52760916,1478195786.531673,2019-02-23T17:13:37.000Z
20.174,21.886048108,-159.52760916,1478195787.869649,2019-02-23T17:13:37.000Z
19.802,21.886039728,-159.52760916,1478195787.9820821,2019-02-23T17:13:38.000Z
19.802,21.886039728,-159.52760916,1478195788.5315647,2019-02-23T17:13:39.000Z
19.477,21.886040906,-159.527618225,1478195789.5329525,2019-02-23T17:13:40.000Z
19.477,21.886040906,-159.527618225,1478195790.8688917,2019-02-23T17:13:40.000Z
20.346,21.886037752,-159.527621609,1478195790.9817357,2019-02-23T17:13:41.000Z
20.022,21.886038929,-159.527630674,1478195791.5336175,2019-02-23T17:13:42.000Z
20.022,21.886038929,-159.527630674,1478195792.5315053,2019-02-23T17:13:43.000Z
20.022,21.886038929,-159.527630674,1478195793.8692462,2019-02-23T17:13:43.000Z
20.022,21.886038929,-159.527630674,1478195793.9816048,2019-02-23T17:13:44.000Z
20.022,21.886038929,-159.527630674,1478195794.5487118,2019-02-23T17:13:45.000Z
19.697,21.886040107,-159.52763974,1478195795.550791,2019-02-23T17:13:46.000Z
19.697,21.886040107,-159.52763974,1478195796.8700187,2019-02-23T17:13:46.000Z
19.697,21.886040107,-159.52763974,1478195796.9824219,2019-02-23T17:13:47.000Z
19.697,21.886040107,-159.52763974,1478195797.6081753,2019-02-23T17:13:48.000Z
19.697,21.886040107,-159.52763974,1478195798.531165,2019-02-23T17:13:49.000Z
19.697,21.886040107,-159.52763974,1478195799.867956,2019-02-23T17:13:49.000Z
20.567,21.886036953,-159.527643124,1478195799.9803169,2019-02-23T17:13:50.000Z
20.567,21.886036953,-159.527643124,1478195800.5374877,2019-02-23T17:13:51.000Z
20.194,21.886028573,-159.527643124,1478195801.5321155,2019-02-23T17:13:52.000Z
20.194,21.886028573,-159.527643124,1478195802.8682497,2019-02-23T17:13:52.000Z
20.194,21.886028573,-159.527643124,1478195802.9806974,2019-02-23T17:13:53.000Z
20.194,21.886028573,-159.527643124,1478195803.547916,2019-02-23T17:13:54.000Z
20.194,21.886028573,-159.527643124,1478195804.5473552,2019-02-23T17:13:55.000Z
20.194,21.886028573,-159.527643124,1478195805.869062,2019-02-23T17:13:55.000Z
20.194,21.886028573,-159.527643124,1478195805.9815404,2019-02-23T17:13:56.000Z
20.194,21.886028573,-159.527643124,1478195806.530245,2019-02-23T17:13:57.000Z
19.821,21.886020193,-159.527643124,1478195807.5314898,2019-02-23T17:13:58.000Z
19.821,21.886020193,-159.527643124,1478195808.8844285,2019-02-23T17:13:58.000Z
20.69,21.886017039,-159.527646508,1478195808.9969237,2019-02-23T17:13:59.000Z
20.69,21.886017039,-159.527646508,1478195809.5303657,2019-02-23T17:14:00.000Z
20.69,21.886017039,-159.527646508,1478195810.5500212,2019-02-23T17:14:01.000Z
20.69,21.886017039,-159.527646508,1478195811.869042,2019-02-23T17:14:01.000Z
20.69,21.886017039,-159.527646508,1478195811.981591,2019-02-23T17:14:02.000Z
20.69,21.886017039,-159.527646508,1478195812.6068347,2019-02-23T17:14:03.000Z
20.69,21.886017039,-159.527646508,1478195813.5302448,2019-02-23T17:14:04.000Z
20.69,21.886017039,-159.527646508,1478195814.886855,2019-02-23T17:14:04.000Z
20.69,21.886017039,-159.527646508,1478195814.9994693,2019-02-23T17:14:05.000Z
20.69,21.886017039,-159.527646508,1478195815.5503147,2019-02-23T17:14:06.000Z
21.063,21.886025419,-159.527646508,1478195816.5334902,2019-02-23T17:14:07.000Z
21.063,21.886025419,-159.527646508,1478195817.884888,2019-02-23T17:14:07.000Z
20.518,21.886027395,-159.527634059,1478195817.9971778,2019-02-23T17:14:08.000Z
20.518,21.886027395,-159.527634059,1478195818.5480618,2019-02-23T17:14:09.000Z
21.216,21.886034598,-159.527624994,1478195819.5313861,2019-02-23T17:14:10.000Z
21.216,21.886034598,-159.527624994,1478195820.869374,2019-02-23T17:14:10.000Z
21.216,21.886034598,-159.527624994,1478195820.9817922,2019-02-23T17:14:11.000Z
21.216,21.886034598,-159.527624994,1478195821.5326514,2019-02-23T17:14:12.000Z
21.216,21.886034598,-159.527624994,1478195822.531752,2019-02-23T17:14:13.000Z
21.216,21.886034598,-159.527624994,1478195823.8697457,2019-02-23T17:14:13.000Z
21.54,21.886033421,-159.527615928,1478195823.982272,2019-02-23T17:14:14.000Z
20.671,21.886036574,-159.527612544,1478195824.5468493,2019-02-23T17:14:15.000Z
20.671,21.886036574,-159.527612544,1478195825.5304458,2019-02-23T17:14:16.000Z
20.671,21.886036574,-159.527612544,1478195826.8706977,2019-02-23T17:14:16.000Z
20.671,21.886036574,-159.527612544,1478195826.983041,2019-02-23T17:14:17.000Z
20.671,21.886036574,-159.527612544,1478195827.6084547,2019-02-23T17:14:18.000Z
20.671,21.886036574,-159.527612544,1478195828.531754,2019-02-23T17:14:19.000Z
20.671,21.886036574,-159.527612544,1478195829.8685884,2019-02-23T17:14:19.000Z
20.671,21.886036574,-159.527612544,1478195829.9796817,2019-02-23T17:14:20.000Z
20.671,21.886036574,-159.527612544,1478195830.5304956,2019-02-23T17:14:21.000Z
21.54,21.886033421,-159.527615928,1478195831.5325944,2019-02-23T17:14:22.000Z
21.54,21.886033421,-159.527615928,1478195832.8678253,2019-02-23T17:14:22.000Z
21.216,21.886034598,-159.527624994,1478195832.980311,2019-02-23T17:14:23.000Z
21.216,21.886034598,-159.527624994,1478195833.5296435,2019-02-23T17:14:24.000Z
21.216,21.886034598,-159.527624994,1478195834.5492795,2019-02-23T17:14:25.000Z
21.216,21.886034598,-159.527624994,1478195835.869617,2019-02-23T17:14:25.000Z
21.216,21.886034598,-159.527624994,1478195835.9821439,2019-02-23T17:14:26.000Z
20.346,21.886037752,-159.527621609,1478195836.5329618,2019-02-23T17:14:27.000Z
20.671,21.886036574,-159.527612544,1478195837.5308166,2019-02-23T17:14:28.000Z
