alx,b,Deg.C,depth_m,dt,g,kPa,r,ts,w,wlx
20600.6,6513.5,36.362,0.036335749999999487,2016-11-03T09:29:10.806313,10048.3,104.342,9591.5,1478201350.8062859,15524.6,57652.1
20554.1,6523.5,36.366,0.03315014999999984,2016-11-03T09:29:12.213710,10036.2,104.31,9587.7,1478201352.2136848,15529.9,57901.5
20618.1,6494.1,36.365,0.02946679999999923,2016-11-03T09:29:13.620289,10042.8,104.273,9597.6,1478201353.620266,15522.9,57723.3
20694.1,6509.5,36.365,0.02767489999999916,2016-11-03T09:29:15.032664,10049.3,104.255,9590.3,1478201355.0326371,15524.4,57848.0
20670.6,6493.8,36.364,0.030860500000000225,2016-11-03T09:29:16.439986,10043.8,104.287,9598.3,1478201356.4399545,15523.9,57510.1
20589.0,6519.3,36.359,0.030561850000000213,2016-11-03T09:29:17.852129,10049.6,104.284,9592.5,1478201357.8521018,15521.6,57937.3
20688.2,6517.8,36.357,0.03514114999999945,2016-11-03T09:29:19.258938,10035.5,104.33,9583.0,1478201359.2589128,15521.6,58008.8
20688.2,6511.7,36.358,0.03225419999999981,2016-11-03T09:29:20.665613,10041.5,104.301,9584.5,1478201360.6655831,15517.8,57403.7
20688.2,6511.2,36.362,0.03693304999999951,2016-11-03T09:29:22.077168,10044.8,104.348,9590.3,1478201362.0771375,15521.1,58134.1
20594.8,6532.4,36.363,0.028570849999999193,2016-11-03T09:29:23.484467,10037.0,104.264,9592.3,1478201363.4844446,15530.4,57669.9
20676.5,6508.7,36.371,0.035041599999998965,2016-11-03T09:29:24.896896,10053.9,104.329,9588.3,1478201364.8968704,15518.6,57652.1
20682.3,6514.5,36.377,0.03006409999999925,2016-11-03T09:29:26.303552,10052.9,104.279,9593.8,1478201366.3035219,15524.6,57812.3
20676.5,6526.6,36.387,0.03474294999999896,2016-11-03T09:29:27.710230,10045.8,104.326,9596.8,1478201367.7102077,15527.6,58134.1
20723.4,6499.4,36.396,0.03384699999999892,2016-11-03T09:29:29.122322,10060.9,104.317,9588.8,1478201369.1223009,15522.4,58062.4
20699.9,6531.6,36.406,0.037430799999999056,2016-11-03T09:29:30.530276,10042.3,104.353,9593.8,1478201370.5302444,15531.4,58044.5
20735.1,6510.7,36.419,0.039123150000000065,2016-11-03T09:29:31.942608,10037.8,104.37,9599.8,1478201371.9425783,15525.4,57794.5
20735.1,6508.7,36.427,0.03255284999999982,2016-11-03T09:29:33.350459,10046.6,104.304,9594.0,1478201373.3504298,15513.6,57937.3
20752.7,6507.2,36.44,0.03215464999999933,2016-11-03T09:29:34.756938,10032.0,104.3,9592.3,1478201374.7569137,15515.1,57563.3
20694.1,6508.7,36.452,0.0312586999999993,2016-11-03T09:29:36.164511,10029.2,104.291,9584.2,1478201376.1644797,15512.8,57812.3
20776.2,6522.8,36.466,0.038028099999999086,2016-11-03T09:29:37.571489,10026.9,104.359,9577.9,1478201377.5714598,15519.3,58169.9
20752.7,6525.1,36.476,0.029566349999999703,2016-11-03T09:29:38.983968,10038.5,104.274,9598.1,1478201378.9839437,15519.3,58169.9
