Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.009,995.733,0.015,1719,1508.614,29.757,1550888611.32004
-0.009,995.73,0.015,1719,1508.641,29.768,1550888612.03626
-0.009,995.734,0.015,1719,1508.607,29.753,1550888612.75022
-0.009,995.734,0.015,1719,1508.606,29.753,1550888613.46523
-0.009,995.736,0.015,1719,1508.595,29.748,1550888614.18002
-0.009,995.734,0.015,1719,1508.61,29.755,1550888614.90335
-0.009,995.733,0.015,1719,1508.614,29.757,1550888615.61826
-0.009,995.731,0.015,1719,1508.633,29.765,1550888616.34028
-0.009,995.73,0.015,1719,1508.641,29.768,1550888617.05925
-0.009,995.728,0.015,1719,1508.66,29.776,1550888617.78712
-0.009,995.734,0.015,1719,1508.61,29.755,1550888618.50835
-0.008,995.728,0.015,1719,1508.656,29.775,1550888619.22216
-0.009,995.73,0.015,1719,1508.641,29.768,1550888619.93937
-0.009,995.729,0.015,1719,1508.645,29.77,1550888620.65441
-0.01,995.73,0.015,1719,1508.645,29.77,1550888621.37037
-0.009,995.734,0.015,1719,1508.607,29.753,1550888622.08537
-0.009,995.724,0.015,1719,1508.687,29.788,1550888622.80541
-0.009,995.73,0.015,1719,1508.641,29.768,1550888623.52225
-0.009,995.727,0.015,1719,1508.664,29.778,1550888624.25884
-0.009,995.73,0.015,1719,1508.641,29.768,1550888624.97420
-0.01,995.726,0.015,1719,1508.672,29.781,1550888625.68925
-0.009,995.73,0.015,1719,1508.641,29.768,1550888626.40212
-0.009,995.726,0.015,1719,1508.671,29.781,1550888627.11624
-0.009,995.731,0.015,1719,1508.637,29.767,1550888627.82708
-0.009,995.729,0.015,1719,1508.649,29.771,1550888628.53724
-0.009,995.726,0.015,1719,1508.671,29.781,1550888629.26081
-0.009,995.73,0.015,1719,1508.641,29.768,1550888629.97627
-0.008,995.726,0.015,1719,1508.668,29.78,1550888630.69818
-0.008,995.729,0.015,1719,1508.644,29.77,1550888631.41465
-0.008,995.723,0.015,1719,1508.694,29.791,1550888632.13156
-0.008,995.722,0.015,1719,1508.702,29.795,1550888632.84957
-0.007,995.723,0.015,1719,1508.69,29.79,1550888633.56424
-0.008,995.729,0.015,1719,1508.648,29.771,1550888634.28213
-0.008,995.723,0.015,1719,1508.69,29.79,1550888635.00164
-0.008,995.726,0.015,1719,1508.667,29.78,1550888635.72619
-0.008,995.721,0.015,1719,1508.706,29.796,1550888636.44111
-0.008,995.724,0.015,1719,1508.687,29.788,1550888637.16423
